microcebus_murinus ENSMICG00000010744
propithecus_coquereli ENSPCOG00000016911
otolemur_garnettii ENSOGAG00000001296
pan_troglodytes ENSPTRG00000012213
pan_paniscus ENSPPAG00000029440
homo_sapiens ENSG00000115041
gorilla_gorilla ENSGGOG00000009841
pongo_abelii ENSPPYG00000012056
rhinopithecus_bieti ENSRBIG00000028142
rhinopithecus_roxellana ENSRROG00000039385
piliocolobus_tephrosceles ENSPTEG00000015697
colobus_angolensis_palliatus ENSCANG00000042861
cercocebus_atys ENSCATG00000042814
papio_anubis ENSPANG00000018833
theropithecus_gelada ENSTGEG00000010439
chlorocebus_sabaeus ENSCSAG00000017397
macaca_nemestrina ENSMNEG00000014727
macaca_mulatta ENSMMUG00000000199
macaca_fascicularis ENSMFAG00000042264
mandrillus_leucophaeus ENSMLEG00000038635
cebus_capucinus ENSCCAG00000029404
callithrix_jacchus ENSCJAG00000018883
saimiri_boliviensis_boliviensis ENSSBOG00000026087
aotus_nancymaae ENSANAG00000026585
carlito_syrichta ENSTSYG00000026882
microtus_ochrogaster ENSMOCG00000013430
rattus_norvegicus ENSRNOG00000014152
mus_spicilegus ENSMSIG00000019089
mesocricetus_auratus ENSMAUG00000010104
dipodomys_ordii ENSDORG00000025385
cavia_porcellus ENSCPOG00000015053
cavia_aperea ENSCAPG00000005544
chinchilla_lanigera ENSCLAG00000004497
heterocephalus_glaber_male ENSHGLG00100013041
heterocephalus_glaber_female ENSHGLG00000008371
ictidomys_tridecemlineatus ENSSTOG00000027755
ochotona_princeps ENSOPRG00000001400
oryctolagus_cuniculus ENSOCUG00000023638
tupaia_belangeri ENSTBEG00000001966
pteropus_vampyrus ENSPVAG00000006437
erinaceus_europaeus ENSEEUG00000014885
sus_scrofa ENSSSCG00000008119
tursiops_truncatus ENSTTRG00000004971
bos_mutus ENSBMUG00000024925
bos_taurus ENSBTAG00000017955
bison_bison_bison ENSBBBG00000025193
capra_hircus ENSCHIG00000023677
ursus_americanus ENSUAMG00000011180
ursus_maritimus ENSUMAG00000012165
mustela_putorius_furo ENSMPUG00000009115
neovison_vison ENSNVIG00000015589
canis_lupus_familiaris ENSCAFG00000006920
canis_lupus_dingo ENSCAFG00020019804
vulpes_vulpes ENSVVUG00000027320
panthera_pardus ENSPPRG00000004592
panthera_tigris_altaica ENSPTIG00000018613
felis_catus ENSFCAG00000010689
equus_asinus_asinus ENSEASG00005002426
myotis_lucifugus ENSMLUG00000006055
ailuropoda_melanoleuca ENSAMEG00000009180
cricetulus_griseus_chok1gshd ENSCGRG00001013000
cricetulus_griseus_crigri ENSCGRG00000008305
peromyscus_maniculatus_bairdii ENSPEMG00000021898
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025179
mus_musculus ENSMUSG00000079056
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024259
mus_pahari MGP_PahariEiJ_G0025704
meriones_unguiculatus ENSMUGG00000011865
castor_canadensis ENSCCNG00000009385
fukomys_damarensis ENSFDAG00000014808
marmota_marmota_marmota ENSMMMG00000001102
spermophilus_dauricus ENSSDAG00000012952
