erpetoichthys_calabaricus ENSECRG00000009598
latimeria_chalumnae ENSLACG00000011573
cynoglossus_semilaevis ENSCSEG00000016355
hippocampus_comes ENSHCOG00000010591
parambassis_ranga ENSPRNG00000015740
labrus_bergylta ENSLBEG00000007159
tetraodon_nigroviridis ENSTNIG00000007636
takifugu_rubripes ENSTRUG00000005407
gasterosteus_aculeatus ENSGACG00000020797
cyprinodon_variegatus ENSCVAG00000005169
fundulus_heteroclitus ENSFHEG00000000609
xiphophorus_maculatus ENSXMAG00000018893
xiphophorus_couchianus ENSXCOG00000004005
poecilia_formosa ENSPFOG00000000010
poecilia_latipinna ENSPLAG00000007415
poecilia_mexicana ENSPMEG00000004473
kryptolebias_marmoratus ENSKMAG00000018779
oryzias_latipes ENSORLG00000013997
oryzias_latipes ENSORLG00015018242
oryzias_latipes ENSORLG00020011341
oryzias_melastigma ENSOMEG00000002976
cynoglossus_semilaevis ENSCSEG00000010459
amphiprion_ocellaris ENSAOCG00000001772
amphiprion_percula ENSAPEG00000021960
acanthochromis_polyacanthus ENSAPOG00000002097
stegastes_partitus ENSSPAG00000005388
maylandia_zebra ENSMZEG00005009622
haplochromis_burtoni ENSHBUG00000019911
astatotilapia_calliptera ENSACLG00000015924
pundamilia_nyererei ENSPNYG00000008334
oreochromis_niloticus ENSONIG00000017333
neolamprologus_brichardi ENSNBRG00000009555
amphilophus_citrinellus ENSACIG00000002522
larimichthys_crocea ENSLCRG00005016390
cottoperca_gobio ENSCGOG00000017888
seriola_dumerili ENSSDUG00000000585
seriola_lalandi ENSSLDG00000016258
scophthalmus_maximus ENSSMAG00000007661
lates_calcarifer ENSLCAG00010012072
anabas_testudineus ENSATEG00000022646
betta_splendens ENSBSLG00000018391
mastacembelus_armatus ENSMAMG00000020077
monopterus_albus ENSMALG00000010345
mola_mola ENSMMOG00000014816
gouania_willdenowi ENSGWIG00000024489
periophthalmus_magnuspinnatus ENSPMGG00000012389
gadus_morhua ENSGMOG00000013302
hucho_hucho ENSHHUG00000033309
hucho_hucho ENSHHUG00000028132
esox_lucius ENSELUG00000011543
denticeps_clupeoides ENSDCDG00000023445
clupea_harengus ENSCHAG00000000878
astyanax_mexicanus ENSAMXG00000032551
astyanax_mexicanus ENSAMXG00005012729
pygocentrus_nattereri ENSPNAG00000015814
electrophorus_electricus ENSEEEG00000020967
ictalurus_punctatus ENSIPUG00000007171
danio_rerio ENSDARG00000054032
paramormyrops_kingsleyae ENSPKIG00000009041
paramormyrops_kingsleyae ENSPKIG00000016494
scleropages_formosus ENSSFOG00015010149
lepisosteus_oculatus ENSLOCG00000012274
callorhinchus_milii ENSCMIG00000005751
chelonoidis_abingdonii ENSCABG00000004796
gopherus_agassizii ENSGAGG00000017397
