myotis_lucifugus ENSMLUG00000001123
ailuropoda_melanoleuca ENSAMEG00000011094
mesocricetus_auratus ENSMAUG00000013372
cricetulus_griseus_crigri ENSCGRG00000002743
peromyscus_maniculatus_bairdii ENSPEMG00000027841
heterocephalus_glaber_male ENSHGLG00100006337
chelonoidis_abingdonii ENSCABG00000000844
ornithorhynchus_anatinus ENSOANG00000006375
lepidothrix_coronata ENSLCOG00000003249
zonotrichia_albicollis ENSZALG00000000615
anolis_carolinensis ENSACAG00000001983
sarcophilus_harrisii ENSSHAG00000011251
pundamilia_nyererei ENSPNYG00000013136
stegastes_partitus ENSSPAG00000007748
