fundulus_heteroclitus ENSFHEG00000011431
cyprinodon_variegatus ENSCVAG00000004335
poecilia_mexicana ENSPMEG00000010891
poecilia_latipinna ENSPLAG00000017984
poecilia_reticulata ENSPREG00000003415
xiphophorus_couchianus ENSXCOG00000013979
xiphophorus_maculatus ENSXMAG00000023283
gambusia_affinis ENSGAFG00000013511
kryptolebias_marmoratus ENSKMAG00000003407
oryzias_latipes ENSORLG00020001592
oryzias_latipes_asm223469v1 ENSORLG00015002868
oryzias_melastigma ENSOMEG00000000101
stegastes_partitus ENSSPAG00000016322
amphiprion_ocellaris ENSAOCG00000019425
oryzias_latipes ENSORLG00000026513
monopterus_albus ENSMALG00000014721
haplochromis_burtoni ENSHBUG00000007226
maylandia_zebra ENSMZEG00005014126
astatotilapia_calliptera ENSACLG00000011193
neolamprologus_brichardi ENSNBRG00000018783
pundamilia_nyererei ENSPNYG00000001904
amphilophus_citrinellus ENSACIG00000021246
labrus_bergylta ENSLBEG00000026341
anabas_testudineus ENSATEG00000021290
seriola_lalandi_dorsalis ENSSLDG00000009081
hippocampus_comes ENSHCOG00000019307
esox_lucius ENSELUG00000020858
