xiphophorus_couchianus ENSXCOG00000015037
xiphophorus_maculatus ENSXMAG00000021547
gambusia_affinis ENSGAFG00000017721
poecilia_latipinna ENSPLAG00000014907
poecilia_mexicana ENSPMEG00000013722
poecilia_reticulata ENSPREG00000006594
cyprinodon_variegatus ENSCVAG00000022320
kryptolebias_marmoratus ENSKMAG00000008169
oryzias_melastigma ENSOMEG00000003343
oryzias_latipes_asm223469v1 ENSORLG00015021907
amphilophus_citrinellus ENSACIG00000019188
amphiprion_percula ENSAPEG00000001005
amphiprion_ocellaris ENSAOCG00000012479
acanthochromis_polyacanthus ENSAPOG00000004139
stegastes_partitus ENSSPAG00000011301
seriola_lalandi_dorsalis ENSSLDG00000021457
seriola_dumerili ENSSDUG00000007693
scophthalmus_maximus ENSSMAG00000007988
mola_mola ENSMMOG00000003755
monopterus_albus ENSMALG00000015292
mastacembelus_armatus ENSMAMG00000015275
anabas_testudineus ENSATEG00000006418
cynoglossus_semilaevis ENSCSEG00000004521
hippocampus_comes ENSHCOG00000003960
