macaca_nemestrina ENSMNEG00000036602
macaca_fascicularis ENSMFAG00000003722
cercocebus_atys ENSCATG00000031954
papio_anubis ENSPANG00000029416
mandrillus_leucophaeus ENSMLEG00000033248
rhinopithecus_roxellana ENSRROG00000030817
colobus_angolensis_palliatus ENSCANG00000015292
pan_troglodytes ENSPTRG00000044309
pan_paniscus ENSPPAG00000031854
gorilla_gorilla ENSGGOG00000042737
nomascus_leucogenys ENSNLEG00000035361
rhinopithecus_bieti ENSRBIG00000037227
macaca_mulatta ENSMMUG00000039207
cebus_capucinus ENSCCAG00000034727
saimiri_boliviensis_boliviensis ENSSBOG00000026956
aotus_nancymaae ENSANAG00000036577
cricetulus_griseus_crigri-picr ENSCGRG00015010747
sus_scrofa ENSSSCG00000033508
