periophthalmus_magnuspinnatus ENSPMGG00000004205
takifugu_rubripes ENSTRUG00000025899
poecilia_latipinna ENSPLAG00000022931
poecilia_reticulata ENSPREG00000019742
poecilia_mexicana ENSPMEG00000022951
poecilia_formosa ENSPFOG00000023844
gambusia_affinis ENSGAFG00000011337
xiphophorus_maculatus ENSXMAG00000028052
kryptolebias_marmoratus ENSKMAG00000009226
seriola_dumerili ENSSDUG00000004250
cynoglossus_semilaevis ENSCSEG00000000437
hippocampus_comes ENSHCOG00000013725
mastacembelus_armatus ENSMAMG00000007637
monopterus_albus ENSMALG00000004473
acanthochromis_polyacanthus ENSAPOG00000000136
amphilophus_citrinellus ENSACIG00000001871
oryzias_latipes ENSORLG00000028540
oryzias_latipes_asm223469v1 ENSORLG00015019987
oryzias_latipes ENSORLG00020021735
anabas_testudineus ENSATEG00000013935
seriola_lalandi_dorsalis ENSSLDG00000002405
labrus_bergylta ENSLBEG00000009033
esox_lucius ENSELUG00000017341
