vulpes_vulpes ENSVVUG00000029588
panthera_pardus ENSPPRG00000020429
bos_taurus ENSBTAG00000048943
peromyscus_maniculatus_bairdii ENSPEMG00000027262
cricetulus_griseus_crigri-picr ENSCGRG00015001027
meriones_unguiculatus ENSMUGG00000024155
spermophilus_dauricus ENSSDAG00000003541
theropithecus_gelada ENSTGEG00000000828
papio_anubis ENSPANG00000029430
rhinopithecus_roxellana ENSRROG00000033202
pan_paniscus ENSPPAG00000040100
piliocolobus_tephrosceles ENSPTEG00000034122
cebus_capucinus ENSCCAG00000020811
neovison_vison ENSNVIG00000023514
ursus_maritimus ENSUMAG00000003753
panthera_pardus ENSPPRG00000024611
bos_mutus ENSBMUG00000006214
bos_taurus ENSBTAG00000018885
capra_hircus ENSCHIG00000013741
sus_scrofa ENSSSCG00000033775
mandrillus_leucophaeus ENSMLEG00000041246
cercocebus_atys ENSCATG00000038863
rhinopithecus_roxellana ENSRROG00000033688
castor_canadensis ENSCCNG00000019978
nomascus_leucogenys ENSNLEG00000032322
sphenodon_punctatus ENSSPUG00000007778
