labrus_bergylta ENSLBEG00000001214
mola_mola ENSMMOG00000017760
anabas_testudineus ENSATEG00000020370
scophthalmus_maximus ENSSMAG00000008326
cynoglossus_semilaevis ENSCSEG00000013761
seriola_lalandi_dorsalis ENSSLDG00000021496
seriola_dumerili ENSSDUG00000017174
mastacembelus_armatus ENSMAMG00000004788
fundulus_heteroclitus ENSFHEG00000009705
cyprinodon_variegatus ENSCVAG00000019637
xiphophorus_couchianus ENSXCOG00000020579
gambusia_affinis ENSGAFG00000021796
poecilia_latipinna ENSPLAG00000013018
poecilia_mexicana ENSPMEG00000010083
poecilia_reticulata ENSPREG00000018982
kryptolebias_marmoratus ENSKMAG00000002566
amphiprion_ocellaris ENSAOCG00000018574
amphiprion_percula ENSAPEG00000009075
acanthochromis_polyacanthus ENSAPOG00000010259
stegastes_partitus ENSSPAG00000014731
astatotilapia_calliptera ENSACLG00000027859
pundamilia_nyererei ENSPNYG00000014867
maylandia_zebra ENSMZEG00005017712
haplochromis_burtoni ENSHBUG00000013472
neolamprologus_brichardi ENSNBRG00000005755
amphilophus_citrinellus ENSACIG00000000077
periophthalmus_magnuspinnatus ENSPMGG00000011284
esox_lucius ENSELUG00000004268
pygocentrus_nattereri ENSPNAG00000004676
astyanax_mexicanus ENSAMXG00000029248
ictalurus_punctatus ENSIPUG00000024112
danio_rerio ENSDARG00000097032
paramormyrops_kingsleyae ENSPKIG00000021875
latimeria_chalumnae ENSLACG00000017441
