maylandia_zebra ENSMZEG00005010266
astatotilapia_calliptera ENSACLG00000016493
amphilophus_citrinellus ENSACIG00000009021
kryptolebias_marmoratus ENSKMAG00000008196
oryzias_melastigma ENSOMEG00000006822
amphiprion_ocellaris ENSAOCG00000014296
amphiprion_percula ENSAPEG00000022319
acanthochromis_polyacanthus ENSAPOG00000020807
seriola_lalandi_dorsalis ENSSLDG00000004825
scophthalmus_maximus ENSSMAG00000012497
monopterus_albus ENSMALG00000004067
hippocampus_comes ENSHCOG00000002768
gadus_morhua ENSGMOG00000013108
