gadus_morhua ENSGMOG00000015826
cynoglossus_semilaevis ENSCSEG00000012769
esox_lucius ENSELUG00000017413
pelodiscus_sinensis ENSPSIG00000008149
pelodiscus_sinensis ENSPSIG00000004315
pelodiscus_sinensis ENSPSIG00000011916
pelodiscus_sinensis ENSPSIG00000015782
pelodiscus_sinensis ENSPSIG00000012712
pelodiscus_sinensis ENSPSIG00000007215
pelodiscus_sinensis ENSPSIG00000006567
pelodiscus_sinensis ENSPSIG00000014634
pelodiscus_sinensis ENSPSIG00000016309
pelodiscus_sinensis ENSPSIG00000011207
pelodiscus_sinensis ENSPSIG00000006846
xenopus_tropicalis ENSXETG00000026690
oreochromis_niloticus ENSONIG00000007925
oreochromis_niloticus ENSONIG00000017354
gasterosteus_aculeatus ENSGACG00000018423
gasterosteus_aculeatus ENSGACG00000015782
gasterosteus_aculeatus ENSGACG00000014232
fundulus_heteroclitus ENSFHEG00000012221
oryzias_melastigma ENSOMEG00000006137
oryzias_latipes_asm223469v1 ENSORLG00015011550
oreochromis_niloticus ENSONIG00000009268
oreochromis_niloticus ENSONIG00000010899
oreochromis_niloticus ENSONIG00000000463
astatotilapia_calliptera ENSACLG00000021426
astatotilapia_calliptera ENSACLG00000022081
astatotilapia_calliptera ENSACLG00000008749
astatotilapia_calliptera ENSACLG00000015586
maylandia_zebra ENSMZEG00005001393
oreochromis_niloticus ENSONIG00000000797
astatotilapia_calliptera ENSACLG00000026884
astatotilapia_calliptera ENSACLG00000008901
astatotilapia_calliptera ENSACLG00000027955
astatotilapia_calliptera ENSACLG00000006117
maylandia_zebra ENSMZEG00005011803
maylandia_zebra ENSMZEG00005009821
astatotilapia_calliptera ENSACLG00000000214
astatotilapia_calliptera ENSACLG00000022918
astatotilapia_calliptera ENSACLG00000000720
pundamilia_nyererei ENSPNYG00000016600
astatotilapia_calliptera ENSACLG00000003054
maylandia_zebra ENSMZEG00005007078
pundamilia_nyererei ENSPNYG00000007467
oreochromis_niloticus ENSONIG00000004566
astatotilapia_calliptera ENSACLG00000026537
oreochromis_niloticus ENSONIG00000020648
oryzias_latipes_asm223469v1 ENSORLG00015021541
oryzias_latipes ENSORLG00020002298
oryzias_melastigma ENSOMEG00000000806
danio_rerio ENSDARG00000101994
danio_rerio ENSDARG00000099590
danio_rerio ENSDARG00000103972
astatotilapia_calliptera ENSACLG00000011553
pundamilia_nyererei ENSPNYG00000022940
oreochromis_niloticus ENSONIG00000011062
notechis_scutatus ENSNSUG00000017448
notechis_scutatus ENSNSUG00000004746
oryzias_latipes_asm223469v1 ENSORLG00015003165
paramormyrops_kingsleyae ENSPKIG00000020559
anolis_carolinensis ENSACAG00000006566
anolis_carolinensis ENSACAG00000023830
pogona_vitticeps ENSPVIG00000025481
chelonoidis_abingdonii ENSCABG00000000668
pogona_vitticeps ENSPVIG00000011929
xenopus_tropicalis ENSXETG00000015341
latimeria_chalumnae ENSLACG00000003351
