panthera_tigris ENSPTIG00000004550
canis_lupus ENSCAFG00020001290
neovison_vison ENSNVIG00000007473
vulpes_vulpes ENSVVUG00000004217
ursus_americanus ENSUAMG00000003970
ursus_americanus ENSUAMG00000002111
panthera_pardus ENSPPRG00000011409
bison_bison ENSBBBG00000005232
bison_bison ENSBBBG00000017476
bos_mutus ENSBMUG00000021506
bos_mutus ENSBMUG00000004761
bos_taurus ENSBTAG00000052284
prolemur_simus ENSPSMG00000000905
piliocolobus_tephrosceles ENSPTEG00000011846
marmota_marmota ENSMMMG00000014059
marmota_marmota ENSMMMG00000002151
marmota_marmota ENSMMMG00000016986
spermophilus_dauricus ENSSDAG00000012478
marmota_marmota ENSMMMG00000009020
marmota_marmota ENSMMMG00000024304
marmota_marmota ENSMMMG00000003895
marmota_marmota ENSMMMG00000015604
spermophilus_dauricus ENSSDAG00000008892
mus_spicilegus ENSMSIG00000003293
mus_spicilegus ENSMSIG00000002192
mus_spicilegus ENSMSIG00000006987
mus_spicilegus ENSMSIG00000015173
mus_spicilegus ENSMSIG00000020851
mus_spicilegus ENSMSIG00000030531
meriones_unguiculatus ENSMUGG00000005557
meriones_unguiculatus ENSMUGG00000005764
chrysemys_picta ENSCPBG00000000898
