theropithecus_gelada ENSTGEG00000005747
piliocolobus_tephrosceles ENSPTEG00000038541
homo_sapiens ENSG00000284791
tupaia_belangeri ENSTBEG00000000818
mus_musculus ENSMUSG00000075408
mus_spicilegus ENSMSIG00000018005
rattus_norvegicus ENSRNOG00000036872
meriones_unguiculatus ENSMUGG00000005456
cricetulus_griseus_crigri-picr ENSCGRG00015028604
cricetulus_griseus_chok1gshd ENSCGRG00001010569
peromyscus_maniculatus_bairdii ENSPEMG00000028854
castor_canadensis ENSCCNG00000015940
spermophilus_dauricus ENSSDAG00000022351
spermophilus_dauricus ENSSDAG00000022352
urocitellus_parryii ENSUPAG00010002088
marmota_marmota_marmota ENSMMMG00000000888
equus_asinus_asinus ENSEASG00005008797
equus_caballus ENSECAG00000007988
erinaceus_europaeus ENSEEUG00000001151
canis_lupus_dingo ENSCAFG00020001222
canis_lupus_familiaris ENSCAFG00000014784
vulpes_vulpes ENSVVUG00000027780
neovison_vison ENSNVIG00000004366
ursus_americanus ENSUAMG00000013906
ailuropoda_melanoleuca ENSAMEG00000001762
felis_catus ENSFCAG00000040537
bos_taurus ENSBTAG00000048888
bison_bison_bison ENSBBBG00000020772
sus_scrofa ENSSSCG00000035962
prolemur_simus ENSPSMG00000012446
echinops_telfairi ENSETEG00000005404
