rhinopithecus_bieti ENSRBIG00000034385
rhinopithecus_roxellana ENSRROG00000032494
gorilla_gorilla ENSGGOG00000037499
pan_troglodytes ENSPTRG00000052398
nomascus_leucogenys ENSNLEG00000033381
colobus_angolensis_palliatus ENSCANG00000043415
mandrillus_leucophaeus ENSMLEG00000040568
papio_anubis ENSPANG00000029793
macaca_nemestrina ENSMNEG00000029932
macaca_mulatta ENSMMUG00000049262
macaca_fascicularis ENSMFAG00000033548
cercocebus_atys ENSCATG00000041087
macaca_mulatta ENSMMUG00000043176
pan_paniscus ENSPPAG00000021428
callithrix_jacchus ENSCJAG00000048688
