sphenodon_punctatus ENSSPUG00000007474
pogona_vitticeps ENSPVIG00000005758
taeniopygia_guttata ENSTGUG00000010256
cyanistes_caeruleus ENSCCEG00000020731
junco_hyemalis ENSJHYG00000018244
melopsittacus_undulatus ENSMUNG00000000397
calidris_pugnax ENSCPUG00000005784
marmota_marmota_marmota ENSMMMG00000020908
spermophilus_dauricus ENSSDAG00000003781
peromyscus_maniculatus_bairdii ENSPEMG00000019582
bos_mutus ENSBMUG00000022373
equus_asinus_asinus ENSEASG00005000322
ursus_maritimus ENSUMAG00000011618
ursus_americanus ENSUAMG00000014599
neovison_vison ENSNVIG00000007012
panthera_pardus ENSPPRG00000000683
scleropages_formosus ENSSFOG00015006964
