tursiops_truncatus ENSTTRG00000013859
sus_scrofa ENSSSCG00000036839
ovis_aries ENSOARG00000012596
capra_hircus ENSCHIG00000017722
equus_caballus ENSECAG00000001625
equus_asinus_asinus ENSEASG00005010980
ursus_maritimus ENSUMAG00000019352
ursus_americanus ENSUAMG00000007848
ailuropoda_melanoleuca ENSAMEG00000005389
neovison_vison ENSNVIG00000024185
mustela_putorius_furo ENSMPUG00000006017
canis_lupus_familiaris ENSCAFG00000031585
canis_lupus_dingo ENSCAFG00020021035
vulpes_vulpes ENSVVUG00000005492
sorex_araneus ENSSARG00000004570
erinaceus_europaeus ENSEEUG00000009280
procavia_capensis ENSPCAG00000001833
echinops_telfairi ENSETEG00000000123
loxodonta_africana ENSLAFG00000005941
choloepus_hoffmanni ENSCHOG00000007710
chinchilla_lanigera ENSCLAG00000014398
octodon_degus ENSODEG00000012507
heterocephalus_glaber_female ENSHGLG00000014023
heterocephalus_glaber_male ENSHGLG00100007540
fukomys_damarensis ENSFDAG00000001741
castor_canadensis ENSCCNG00000011821
tupaia_belangeri ENSTBEG00000009737
pan_troglodytes ENSPTRG00000022804
pan_paniscus ENSPPAG00000032742
gorilla_gorilla ENSGGOG00000003075
homo_sapiens ENSG00000196378
pongo_abelii ENSPPYG00000018990
nomascus_leucogenys ENSNLEG00000010935
papio_anubis ENSPANG00000034489
chlorocebus_sabaeus ENSCSAG00000008216
theropithecus_gelada ENSTGEG00000019625
macaca_nemestrina ENSMNEG00000031149
macaca_fascicularis ENSMFAG00000042028
macaca_mulatta ENSMMUG00000014308
mandrillus_leucophaeus ENSMLEG00000040196
cercocebus_atys ENSCATG00000036721
rhinopithecus_bieti ENSRBIG00000018177
piliocolobus_tephrosceles ENSPTEG00000022790
rhinopithecus_roxellana ENSRROG00000044607
colobus_angolensis_palliatus ENSCANG00000042936
cebus_capucinus ENSCCAG00000025292
cebus_capucinus ENSCCAG00000023353
saimiri_boliviensis_boliviensis ENSSBOG00000025006
carlito_syrichta ENSTSYG00000010891
propithecus_coquereli ENSPCOG00000021340
prolemur_simus ENSPSMG00000019484
microcebus_murinus ENSMICG00000047840
dasypus_novemcinctus ENSDNOG00000041215
bison_bison_bison ENSBBBG00000025124
mus_spicilegus ENSMSIG00000007038
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022044
mus_musculus ENSMUSG00000053347
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021138
mus_pahari MGP_PahariEiJ_G0023456
rattus_norvegicus ENSRNOG00000026569
mus_spicilegus ENSMSIG00000016880
mus_spicilegus ENSMSIG00000027401
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022049
mus_musculus ENSMUSG00000071266
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021140
mus_pahari MGP_PahariEiJ_G0023458
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022046
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022047
mus_musculus ENSMUSG00000096433
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022045
mus_spicilegus ENSMSIG00000009306
mus_musculus ENSMUSG00000063383
mus_spicilegus ENSMSIG00000003495
mus_musculus ENSMUSG00000078546
mus_musculus ENSMUSG00000117284
mus_spicilegus ENSMSIG00000006520
rattus_norvegicus ENSRNOG00000051867
mus_pahari MGP_PahariEiJ_G0023454
mus_pahari MGP_PahariEiJ_G0023455
mus_musculus ENSMUSG00000069743
mus_spicilegus ENSMSIG00000009401
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022041
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021136
mus_spicilegus ENSMSIG00000007004
mus_musculus ENSMUSG00000071267
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022043
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021137
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022042
mus_musculus ENSMUSG00000033972
mus_spicilegus ENSMSIG00000029964
mus_pahari MGP_PahariEiJ_G0023457
mus_spicilegus ENSMSIG00000002986
mus_spicilegus ENSMSIG00000029671
mus_musculus ENSMUSG00000078495
mus_musculus ENSMUSG00000065999
mus_spicilegus ENSMSIG00000020946
mus_musculus ENSMUSG00000070605
mus_musculus ENSMUSG00000067916
mus_spicilegus ENSMSIG00000019626
mus_spicilegus ENSMSIG00000000175
mus_musculus ENSMUSG00000063245
mus_musculus ENSMUSG00000078500
mus_musculus ENSMUSG00000045699
mus_musculus ENSMUSG00000062518
mus_musculus ENSMUSG00000066009
mus_musculus ENSMUSG00000086147
mus_musculus ENSMUSG00000078498
mus_musculus ENSMUSG00000078503
mus_musculus ENSMUSG00000058186
mus_musculus ENSMUSG00000056300
mus_musculus ENSMUSG00000067919
mus_musculus ENSMUSG00000078497
mus_musculus ENSMUSG00000066000
rattus_norvegicus ENSRNOG00000025261
rattus_norvegicus ENSRNOG00000059160
rattus_norvegicus ENSRNOG00000054488
mus_spicilegus ENSMSIG00000016912
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022052
mus_musculus ENSMUSG00000059142
mus_pahari MGP_PahariEiJ_G0023460
rattus_norvegicus ENSRNOG00000061533
mesocricetus_auratus ENSMAUG00000012526
cricetulus_griseus_crigri ENSCGRG00000000632
peromyscus_maniculatus_bairdii ENSPEMG00000007521
microtus_ochrogaster ENSMOCG00000013305
cricetulus_griseus_chok1gshd ENSCGRG00001005467
cricetulus_griseus_crigri-picr ENSCGRG00015005050
cricetulus_griseus_crigri ENSCGRG00000006549
mesocricetus_auratus ENSMAUG00000009331
cricetulus_griseus_crigri ENSCGRG00000000411
microtus_ochrogaster ENSMOCG00000001762
peromyscus_maniculatus_bairdii ENSPEMG00000027013
mus_pahari MGP_PahariEiJ_G0023459
mus_spicilegus ENSMSIG00000014658
mus_spicilegus ENSMSIG00000009322
mus_spicilegus ENSMSIG00000000909
mus_spicilegus ENSMSIG00000020603
mus_spicilegus ENSMSIG00000017614
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021142
mus_spicilegus ENSMSIG00000006803
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021139
meriones_unguiculatus ENSMUGG00000007857
peromyscus_maniculatus_bairdii ENSPEMG00000001039
peromyscus_maniculatus_bairdii ENSPEMG00000025655
cricetulus_griseus_crigri-picr ENSCGRG00015005077
cricetulus_griseus_chok1gshd ENSCGRG00001006166
cricetulus_griseus_crigri-picr ENSCGRG00015004988
cricetulus_griseus_crigri ENSCGRG00000000578
cricetulus_griseus_crigri ENSCGRG00000000379
cricetulus_griseus_crigri-picr ENSCGRG00015005091
cricetulus_griseus_crigri-picr ENSCGRG00015014303
mesocricetus_auratus ENSMAUG00000002358
meriones_unguiculatus ENSMUGG00000011073
