macaca_fascicularis ENSMFAG00000013011
macaca_nemestrina ENSMNEG00000024585
cercocebus_atys ENSCATG00000022662
callithrix_jacchus ENSCJAG00000047322
papio_anubis ENSPANG00000031527
mandrillus_leucophaeus ENSMLEG00000040942
colobus_angolensis_palliatus ENSCANG00000032512
aotus_nancymaae ENSANAG00000024062
carlito_syrichta ENSTSYG00000027361
propithecus_coquereli ENSPCOG00000028880
microcebus_murinus ENSMICG00000049219
panthera_tigris_altaica ENSPTIG00000009433
panthera_pardus ENSPPRG00000022239
capra_hircus ENSCHIG00000017176
