heterocephalus_glaber_female ENSHGLG00000002980
heterocephalus_glaber_male ENSHGLG00100013337
fukomys_damarensis ENSFDAG00000015573
cavia_porcellus ENSCPOG00000030616
chinchilla_lanigera ENSCLAG00000002881
octodon_degus ENSODEG00000013005
dipodomys_ordii ENSDORG00000025181
mus_spicilegus ENSMSIG00000031805
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026595
mus_musculus ENSMUSG00000028031
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025642
mus_pahari MGP_PahariEiJ_G0027091
rattus_norvegicus ENSRNOG00000011360
meriones_unguiculatus ENSMUGG00000022083
peromyscus_maniculatus_bairdii ENSPEMG00000024321
microtus_ochrogaster ENSMOCG00000016432
cricetulus_griseus_crigri-picr ENSCGRG00015006008
cricetulus_griseus_chok1gshd ENSCGRG00001015913
mesocricetus_auratus ENSMAUG00000000149
nannospalax_galili ENSNGAG00000016311
jaculus_jaculus ENSJJAG00000017735
spermophilus_dauricus ENSSDAG00000016639
spermophilus_dauricus ENSSDAG00000016625
urocitellus_parryii ENSUPAG00010009013
ictidomys_tridecemlineatus ENSSTOG00000020324
marmota_marmota_marmota ENSMMMG00000010025
oryctolagus_cuniculus ENSOCUG00000001765
ochotona_princeps ENSOPRG00000012088
pan_paniscus ENSPPAG00000038306
pan_troglodytes ENSPTRG00000016346
homo_sapiens ENSG00000155011
gorilla_gorilla ENSGGOG00000027525
nomascus_leucogenys ENSNLEG00000030139
theropithecus_gelada ENSTGEG00000000820
cercocebus_atys ENSCATG00000042474
papio_anubis ENSPANG00000024437
mandrillus_leucophaeus ENSMLEG00000041922
chlorocebus_sabaeus ENSCSAG00000003978
macaca_nemestrina ENSMNEG00000034817
macaca_fascicularis ENSMFAG00000032422
macaca_mulatta ENSMMUG00000001630
rhinopithecus_bieti ENSRBIG00000010914
piliocolobus_tephrosceles ENSPTEG00000034202
colobus_angolensis_palliatus ENSCANG00000029187
callithrix_jacchus ENSCJAG00000015903
cebus_capucinus ENSCCAG00000034380
saimiri_boliviensis_boliviensis ENSSBOG00000019910
aotus_nancymaae ENSANAG00000036052
carlito_syrichta ENSTSYG00000000272
otolemur_garnettii ENSOGAG00000000287
mustela_putorius_furo ENSMPUG00000008937
neovison_vison ENSNVIG00000006330
ursus_maritimus ENSUMAG00000000387
ursus_americanus ENSUAMG00000013513
ailuropoda_melanoleuca ENSAMEG00000001948
canis_lupus_dingo ENSCAFG00020010010
canis_lupus_familiaris ENSCAFG00000011087
vulpes_vulpes ENSVVUG00000017331
panthera_pardus ENSPPRG00000001046
panthera_tigris_altaica ENSPTIG00000015687
felis_catus ENSFCAG00000043481
equus_asinus_asinus ENSEASG00005004541
equus_caballus ENSECAG00000032911
sus_scrofa ENSSSCG00000032094
tursiops_truncatus ENSTTRG00000009259
capra_hircus ENSCHIG00000026036
ovis_aries ENSOARG00000008961
bos_mutus ENSBMUG00000016469
bos_taurus ENSBTAG00000012969
bison_bison_bison ENSBBBG00000006389
vicugna_pacos ENSVPAG00000010661
pteropus_vampyrus ENSPVAG00000015858
propithecus_coquereli ENSPCOG00000016835
microcebus_murinus ENSMICG00000027157
prolemur_simus ENSPSMG00000008696
tupaia_belangeri ENSTBEG00000004691
sorex_araneus ENSSARG00000008471
dasypus_novemcinctus ENSDNOG00000039230
choloepus_hoffmanni ENSCHOG00000004501
loxodonta_africana ENSLAFG00000007133
procavia_capensis ENSPCAG00000000218
echinops_telfairi ENSETEG00000012265
notamacropus_eugenii ENSMEUG00000005209
phascolarctos_cinereus ENSPCIG00000020791
sarcophilus_harrisii ENSSHAG00000013376
monodelphis_domestica ENSMODG00000020612
