mus_musculus ENSMUSG00000054938
mus_spretus MGP_SPRETEiJ_G0030228
mus_spicilegus ENSMSIG00000000686
mus_caroli MGP_CAROLIEiJ_G0029167
mus_pahari MGP_PahariEiJ_G0021036
rattus_norvegicus ENSRNOG00000015289
meriones_unguiculatus ENSMUGG00000004230
peromyscus_maniculatus ENSPEMG00000026243
peromyscus_maniculatus ENSPEMG00000025297
cricetulus_griseus ENSCGRG00001014630
cricetulus_griseus ENSCGRG00015005391
oryctolagus_cuniculus ENSOCUG00000025583
equus_caballus ENSECAG00000029579
equus_asinus ENSEASG00005020448
bos_taurus ENSBTAG00000054360
bos_indicus ENSBIXG00005024979
sus_scrofa ENSSSCG00000039565
ursus_americanus ENSUAMG00000017745
ursus_maritimus ENSUMAG00000004265
neovison_vison ENSNVIG00000012969
mustela_putorius ENSMPUG00000020185
marmota_marmota ENSMMMG00000000472
ictidomys_tridecemlineatus ENSSTOG00000032830
octodon_degus ENSODEG00000008949
heterocephalus_glaber ENSHGLG00100008709
cavia_porcellus ENSCPOG00000030066
cavia_aperea ENSCAPG00000005745
callithrix_jacchus ENSCJAG00000068073
dasypus_novemcinctus ENSDNOG00000045012
loxodonta_africana ENSLAFG00000030037
echinops_telfairi ENSETEG00000009024
choloepus_hoffmanni ENSCHOG00000006085
