marmota_marmota_marmota ENSMMMG00000023133
ictidomys_tridecemlineatus ENSSTOG00000025008
urocitellus_parryii ENSUPAG00010003746
cricetulus_griseus_chok1gshd ENSCGRG00001007054
cricetulus_griseus_crigri-picr ENSCGRG00015025624
mesocricetus_auratus ENSMAUG00000015610
peromyscus_maniculatus_bairdii ENSPEMG00000012782
microtus_ochrogaster ENSMOCG00000002722
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025478
mus_spicilegus ENSMSIG00000004809
mus_musculus ENSMUSG00000046229
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024556
mus_pahari MGP_PahariEiJ_G0026001
rattus_norvegicus ENSRNOG00000019987
meriones_unguiculatus ENSMUGG00000000507
meriones_unguiculatus ENSMUGG00000000209
nannospalax_galili ENSNGAG00000007127
octodon_degus ENSODEG00000013490
cavia_porcellus ENSCPOG00000024930
chinchilla_lanigera ENSCLAG00000016943
heterocephalus_glaber_male ENSHGLG00100018677
heterocephalus_glaber_female ENSHGLG00000018444
fukomys_damarensis ENSFDAG00000002721
castor_canadensis ENSCCNG00000007070
castor_canadensis ENSCCNG00000018905
dipodomys_ordii ENSDORG00000012579
oryctolagus_cuniculus ENSOCUG00000027744
prolemur_simus ENSPSMG00000001410
otolemur_garnettii ENSOGAG00000024511
homo_sapiens ENSG00000171222
gorilla_gorilla ENSGGOG00000001678
pan_troglodytes ENSPTRG00000013453
pan_paniscus ENSPPAG00000034505
pongo_abelii ENSPPYG00000010965
nomascus_leucogenys ENSNLEG00000010390
macaca_mulatta ENSMMUG00000009306
theropithecus_gelada ENSTGEG00000003573
chlorocebus_sabaeus ENSCSAG00000010124
piliocolobus_tephrosceles ENSPTEG00000013688
saimiri_boliviensis_boliviensis ENSSBOG00000019440
cebus_capucinus ENSCCAG00000029682
callithrix_jacchus ENSCJAG00000017498
aotus_nancymaae ENSANAG00000037768
ovis_aries ENSOARG00000005354
capra_hircus ENSCHIG00000009506
bos_mutus ENSBMUG00000009799
bos_taurus ENSBTAG00000005573
bison_bison_bison ENSBBBG00000016851
sus_scrofa ENSSSCG00000007312
pteropus_vampyrus ENSPVAG00000005317
myotis_lucifugus ENSMLUG00000015067
equus_caballus ENSECAG00000001342
equus_asinus_asinus ENSEASG00005003885
ursus_americanus ENSUAMG00000013449
ailuropoda_melanoleuca ENSAMEG00000009984
neovison_vison ENSNVIG00000014325
mustela_putorius_furo ENSMPUG00000019029
canis_lupus_familiaris ENSCAFG00000008362
canis_lupus_dingo ENSCAFG00020005777
vulpes_vulpes ENSVVUG00000000849
panthera_pardus ENSPPRG00000016465
felis_catus ENSFCAG00000034391
dasypus_novemcinctus ENSDNOG00000007564
procavia_capensis ENSPCAG00000010173
loxodonta_africana ENSLAFG00000010357
sarcophilus_harrisii ENSSHAG00000018707
monodelphis_domestica ENSMODG00000001504
