mastacembelus_armatus ENSMAMG00000001308
monopterus_albus ENSMALG00000002464
anabas_testudineus ENSATEG00000000374
mola_mola ENSMMOG00000012660
takifugu_rubripes ENSTRUG00000021077
labrus_bergylta ENSLBEG00000028394
fundulus_heteroclitus ENSFHEG00000004813
cyprinodon_variegatus ENSCVAG00000005820
xiphophorus_maculatus ENSXMAG00000015305
xiphophorus_couchianus ENSXCOG00000001300
gambusia_affinis ENSGAFG00000004741
poecilia_formosa ENSPFOG00000020015
poecilia_mexicana ENSPMEG00000014287
poecilia_latipinna ENSPLAG00000017206
poecilia_reticulata ENSPREG00000011599
kryptolebias_marmoratus ENSKMAG00000010244
oryzias_latipes ENSORLG00020009027
oryzias_latipes ENSORLG00000023698
oryzias_latipes_asm223469v1 ENSORLG00015006006
oryzias_melastigma ENSOMEG00000012805
amphiprion_percula ENSAPEG00000007335
amphiprion_ocellaris ENSAOCG00000015469
acanthochromis_polyacanthus ENSAPOG00000001405
stegastes_partitus ENSSPAG00000010049
astatotilapia_calliptera ENSACLG00000007009
maylandia_zebra ENSMZEG00005021375
pundamilia_nyererei ENSPNYG00000012795
haplochromis_burtoni ENSHBUG00000020805
neolamprologus_brichardi ENSNBRG00000001820
oreochromis_niloticus ENSONIG00000021452
amphilophus_citrinellus ENSACIG00000017028
hippocampus_comes ENSHCOG00000016980
scophthalmus_maximus ENSSMAG00000008047
cynoglossus_semilaevis ENSCSEG00000001346
seriola_lalandi_dorsalis ENSSLDG00000022324
seriola_dumerili ENSSDUG00000021538
periophthalmus_magnuspinnatus ENSPMGG00000003161
esox_lucius ENSELUG00000010553
pygocentrus_nattereri ENSPNAG00000011199
astyanax_mexicanus ENSAMXG00000042952
ictalurus_punctatus ENSIPUG00000001916
danio_rerio ENSDARG00000079584
scleropages_formosus ENSSFOG00015006057
paramormyrops_kingsleyae ENSPKIG00000011888
