canis_lupus_dingo ENSCAFG00020002686
vulpes_vulpes ENSVVUG00000001178
vulpes_vulpes ENSVVUG00000015515
erinaceus_europaeus ENSEEUG00000005067
tupaia_belangeri ENSTBEG00000000736
procavia_capensis ENSPCAG00000016053
notamacropus_eugenii ENSMEUG00000011530
calidris_pugnax ENSCPUG00000008748
ficedula_albicollis ENSFALG00000014556
lonchura_striata_domestica ENSLSDG00000010347
calidris_pygmaea ENSCPGG00000004846
nothoprocta_perdicaria ENSNPEG00000011847
vicugna_pacos ENSVPAG00000001677
gadus_morhua ENSGMOG00000010145
esox_lucius ENSELUG00000020206
