cricetulus_griseus_crigri ENSCGRG00000006885
cricetulus_griseus_chok1gshd ENSCGRG00001022774
cricetulus_griseus_crigri-picr ENSCGRG00015028150
mesocricetus_auratus ENSMAUG00000009154
microtus_ochrogaster ENSMOCG00000021905
peromyscus_maniculatus_bairdii ENSPEMG00000018869
mus_spicilegus ENSMSIG00000023140
mus_musculus ENSMUSG00000087512
meriones_unguiculatus ENSMUGG00000016667
nannospalax_galili ENSNGAG00000016158
jaculus_jaculus ENSJJAG00000018245
castor_canadensis ENSCCNG00000003945
peromyscus_maniculatus_bairdii ENSPEMG00000025464
ochotona_princeps ENSOPRG00000018656
pan_troglodytes ENSPTRG00000049977
pan_paniscus ENSPPAG00000037998
homo_sapiens ENSG00000283247
gorilla_gorilla ENSGGOG00000025549
pongo_abelii ENSPPYG00000017578
nomascus_leucogenys ENSNLEG00000029650
rhinopithecus_bieti ENSRBIG00000044157
rhinopithecus_roxellana ENSRROG00000011773
colobus_angolensis_palliatus ENSCANG00000024282
chlorocebus_sabaeus ENSCSAG00000015754
papio_anubis ENSPANG00000002447
cercocebus_atys ENSCATG00000035989
macaca_mulatta ENSMMUG00000041560
macaca_nemestrina ENSMNEG00000034615
macaca_fascicularis ENSMFAG00000033149
mandrillus_leucophaeus ENSMLEG00000002012
saimiri_boliviensis_boliviensis ENSSBOG00000023495
cebus_capucinus ENSCCAG00000021882
callithrix_jacchus ENSCJAG00000045300
aotus_nancymaae ENSANAG00000007682
carlito_syrichta ENSTSYG00000025918
prolemur_simus ENSPSMG00000021845
propithecus_coquereli ENSPCOG00000020456
microcebus_murinus ENSMICG00000045918
bos_mutus ENSBMUG00000006442
bison_bison_bison ENSBBBG00000019070
ovis_aries ENSOARG00000012947
dasypus_novemcinctus ENSDNOG00000032282
