aotus_nancymaae ENSANAG00000029165
callithrix_jacchus ENSCJAG00000047560
callithrix_jacchus ENSCJAG00000048316
piliocolobus_tephrosceles ENSPTEG00000036014
sphenodon_punctatus ENSSPUG00000014522
pogona_vitticeps ENSPVIG00000014170
gopherus_agassizii ENSGAGG00000020656
neolamprologus_brichardi ENSNBRG00000011127
amphilophus_citrinellus ENSACIG00000014161
amphiprion_ocellaris ENSAOCG00000003579
acanthochromis_polyacanthus ENSAPOG00000002189
oryzias_latipes ENSORLG00000026221
oryzias_latipes_asm223469v1 ENSORLG00015007229
seriola_lalandi_dorsalis ENSSLDG00000016175
anabas_testudineus ENSATEG00000020597
labrus_bergylta ENSLBEG00000010707
labrus_bergylta ENSLBEG00000004965
poecilia_mexicana ENSPMEG00000006805
poecilia_latipinna ENSPLAG00000007060
xiphophorus_couchianus ENSXCOG00000002832
astyanax_mexicanus ENSAMXG00000043934
pygocentrus_nattereri ENSPNAG00000011796
ictalurus_punctatus ENSIPUG00000003536
paramormyrops_kingsleyae ENSPKIG00000006366
haplochromis_burtoni ENSHBUG00000017239
neolamprologus_brichardi ENSNBRG00000000494
amphilophus_citrinellus ENSACIG00000007193
xiphophorus_couchianus ENSXCOG00000002099
fundulus_heteroclitus ENSFHEG00000001983
