cricetulus_griseus_chok1gshd ENSCGRG00001024622
cricetulus_griseus_crigri-picr ENSCGRG00015023679
cricetulus_griseus_crigri ENSCGRG00000008080
mesocricetus_auratus ENSMAUG00000000139
microtus_ochrogaster ENSMOCG00000021981
peromyscus_maniculatus_bairdii ENSPEMG00000004690
mus_spicilegus ENSMSIG00000009700
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026041
mus_musculus ENSMUSG00000033900
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025099
mus_pahari MGP_PahariEiJ_G0026542
rattus_norvegicus ENSRNOG00000012982
meriones_unguiculatus ENSMUGG00000024667
nannospalax_galili ENSNGAG00000012816
jaculus_jaculus ENSJJAG00000014854
cavia_porcellus ENSCPOG00000027185
cavia_aperea ENSCAPG00000013262
octodon_degus ENSODEG00000005633
chinchilla_lanigera ENSCLAG00000004282
fukomys_damarensis ENSFDAG00000000956
castor_canadensis ENSCCNG00000008101
dipodomys_ordii ENSDORG00000025943
urocitellus_parryii ENSUPAG00010017777
marmota_marmota_marmota ENSMMMG00000004164
spermophilus_dauricus ENSSDAG00000000278
ictidomys_tridecemlineatus ENSSTOG00000004926
oryctolagus_cuniculus ENSOCUG00000008680
ochotona_princeps ENSOPRG00000014360
piliocolobus_tephrosceles ENSPTEG00000007266
colobus_angolensis_palliatus ENSCANG00000032190
rhinopithecus_roxellana ENSRROG00000029287
rhinopithecus_bieti ENSRBIG00000014814
theropithecus_gelada ENSTGEG00000016201
papio_anubis ENSPANG00000014195
mandrillus_leucophaeus ENSMLEG00000037818
chlorocebus_sabaeus ENSCSAG00000003262
cercocebus_atys ENSCATG00000044629
macaca_mulatta ENSMMUG00000016949
macaca_fascicularis ENSMFAG00000038148
macaca_nemestrina ENSMNEG00000042614
pan_paniscus ENSPPAG00000013128
pan_troglodytes ENSPTRG00000016540
homo_sapiens ENSG00000164114
gorilla_gorilla ENSGGOG00000011510
pongo_abelii ENSPPYG00000015145
nomascus_leucogenys ENSNLEG00000006192
cebus_capucinus ENSCCAG00000032529
saimiri_boliviensis_boliviensis ENSSBOG00000024175
callithrix_jacchus ENSCJAG00000001761
aotus_nancymaae ENSANAG00000031711
carlito_syrichta ENSTSYG00000005015
prolemur_simus ENSPSMG00000020780
microcebus_murinus ENSMICG00000034534
propithecus_coquereli ENSPCOG00000013203
otolemur_garnettii ENSOGAG00000001837
heterocephalus_glaber_male ENSHGLG00100001995
heterocephalus_glaber_female ENSHGLG00000002202
gorilla_gorilla ENSGGOG00000043070
tupaia_belangeri ENSTBEG00000007412
sorex_araneus ENSSARG00000010706
erinaceus_europaeus ENSEEUG00000010395
equus_caballus ENSECAG00000006869
equus_asinus_asinus ENSEASG00005015814
ailuropoda_melanoleuca ENSAMEG00000015353
ursus_maritimus ENSUMAG00000016459
mustela_putorius_furo ENSMPUG00000005684
neovison_vison ENSNVIG00000014169
canis_lupus_dingo ENSCAFG00020002483
canis_lupus_familiaris ENSCAFG00000024366
canis_lupus_familiaris ENSCAFG00000008484
vulpes_vulpes ENSVVUG00000024943
panthera_pardus ENSPPRG00000012215
panthera_tigris_altaica ENSPTIG00000018845
felis_catus ENSFCAG00000044309
ursus_americanus ENSUAMG00000021337
pteropus_vampyrus ENSPVAG00000008378
myotis_lucifugus ENSMLUG00000000461
vicugna_pacos ENSVPAG00000006012
sus_scrofa ENSSSCG00000008852
tursiops_truncatus ENSTTRG00000002838
tursiops_truncatus ENSTTRG00000001199
bos_taurus ENSBTAG00000019053
bos_mutus ENSBMUG00000023954
bison_bison_bison ENSBBBG00000001178
ovis_aries ENSOARG00000016382
capra_hircus ENSCHIG00000010944
procavia_capensis ENSPCAG00000010478
