calidris_pygmaea ENSCPGG00000017302
calidris_pugnax ENSCPUG00000010519
anser_brachyrhynchus ENSABRG00000012216
lonchura_striata_domestica ENSLSDG00000012895
parus_major ENSPMJG00000019538
lepidothrix_coronata ENSLCOG00000013095
apteryx_rowi ENSARWG00000014183
apteryx_haastii ENSAHAG00000018564
apteryx_owenii ENSAOWG00000009611
dromaius_novaehollandiae ENSDNVG00000000903
nothoprocta_perdicaria ENSNPEG00000008474
salvator_merianae ENSSMRG00000015287
sphenodon_punctatus ENSSPUG00000015029
chelonoidis_abingdonii ENSCABG00000005511
gopherus_agassizii ENSGAGG00000003438
chrysemys_picta_bellii ENSCPBG00000019886
ficedula_albicollis ENSFALG00000006563
junco_hyemalis ENSJHYG00000005426
taeniopygia_guttata ENSTGUG00000014757
mandrillus_leucophaeus ENSMLEG00000030765
ornithorhynchus_anatinus ENSOANG00000022113
pogona_vitticeps ENSPVIG00000020671
peromyscus_maniculatus_bairdii ENSPEMG00000007032
microtus_ochrogaster ENSMOCG00000021003
cricetulus_griseus_crigri-picr ENSCGRG00015018195
cricetulus_griseus_chok1gshd ENSCGRG00001004470
cricetulus_griseus_crigri ENSCGRG00000009561
mesocricetus_auratus ENSMAUG00000012914
mus_spicilegus ENSMSIG00000031497
mus_musculus ENSMUSG00000034777
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029568
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028562
mus_pahari MGP_PahariEiJ_G0022297
rattus_norvegicus ENSRNOG00000013261
meriones_unguiculatus ENSMUGG00000011350
nannospalax_galili ENSNGAG00000023603
jaculus_jaculus ENSJJAG00000023332
chinchilla_lanigera ENSCLAG00000007615
octodon_degus ENSODEG00000009023
cavia_porcellus ENSCPOG00000019567
cavia_aperea ENSCAPG00000007040
heterocephalus_glaber_female ENSHGLG00000017263
heterocephalus_glaber_male ENSHGLG00100016711
fukomys_damarensis ENSFDAG00000003571
ictidomys_tridecemlineatus ENSSTOG00000007595
urocitellus_parryii ENSUPAG00010005982
spermophilus_dauricus ENSSDAG00000021332
marmota_marmota_marmota ENSMMMG00000004432
dipodomys_ordii ENSDORG00000014436
ochotona_princeps ENSOPRG00000004172
oryctolagus_cuniculus ENSOCUG00000002797
macaca_nemestrina ENSMNEG00000028742
macaca_mulatta ENSMMUG00000002087
macaca_fascicularis ENSMFAG00000038576
mandrillus_leucophaeus ENSMLEG00000041232
papio_anubis ENSPANG00000008434
chlorocebus_sabaeus ENSCSAG00000015202
rhinopithecus_roxellana ENSRROG00000037528
rhinopithecus_bieti ENSRBIG00000021324
colobus_angolensis_palliatus ENSCANG00000037637
homo_sapiens ENSG00000116035
gorilla_gorilla ENSGGOG00000007290
pan_paniscus ENSPPAG00000025820
pan_troglodytes ENSPTRG00000012037
pongo_abelii ENSPPYG00000012317
nomascus_leucogenys ENSNLEG00000010227
cebus_capucinus ENSCCAG00000036372
saimiri_boliviensis_boliviensis ENSSBOG00000027794
aotus_nancymaae ENSANAG00000025529
carlito_syrichta ENSTSYG00000029264
microcebus_murinus ENSMICG00000046942
prolemur_simus ENSPSMG00000021124
propithecus_coquereli ENSPCOG00000027713
otolemur_garnettii ENSOGAG00000015318
capra_hircus ENSCHIG00000011015
ovis_aries ENSOARG00000011249
bos_taurus ENSBTAG00000010605
bos_mutus ENSBMUG00000001250
bison_bison_bison ENSBBBG00000018769
tursiops_truncatus ENSTTRG00000012234
sus_scrofa ENSSSCG00000008318
ursus_americanus ENSUAMG00000018750
ailuropoda_melanoleuca ENSAMEG00000015911
mustela_putorius_furo ENSMPUG00000007308
neovison_vison ENSNVIG00000003033
felis_catus ENSFCAG00000013449
panthera_pardus ENSPPRG00000010904
pteropus_vampyrus ENSPVAG00000002902
equus_caballus ENSECAG00000019854
equus_asinus_asinus ENSEASG00005007548
myotis_lucifugus ENSMLUG00000007325
panthera_tigris_altaica ENSPTIG00000012134
canis_lupus_dingo ENSCAFG00020001894
canis_lupus_familiaris ENSCAFG00000003434
vulpes_vulpes ENSVVUG00000028066
loxodonta_africana ENSLAFG00000005639
echinops_telfairi ENSETEG00000019614
dasypus_novemcinctus ENSDNOG00000044547
phascolarctos_cinereus ENSPCIG00000015884
notamacropus_eugenii ENSMEUG00000005625
monodelphis_domestica ENSMODG00000011251
sarcophilus_harrisii ENSSHAG00000005517
anolis_carolinensis ENSACAG00000011164
serinus_canaria ENSSCAG00000007410
astyanax_mexicanus ENSAMXG00000005617
pygocentrus_nattereri ENSPNAG00000027366
danio_rerio ENSDARG00000058702
cynoglossus_semilaevis ENSCSEG00000004034
scophthalmus_maximus ENSSMAG00000007640
poecilia_mexicana ENSPMEG00000012450
poecilia_formosa ENSPFOG00000005831
poecilia_latipinna ENSPLAG00000004308
poecilia_reticulata ENSPREG00000003691
xiphophorus_maculatus ENSXMAG00000001850
xiphophorus_couchianus ENSXCOG00000008997
gambusia_affinis ENSGAFG00000002454
fundulus_heteroclitus ENSFHEG00000020226
cyprinodon_variegatus ENSCVAG00000014451
kryptolebias_marmoratus ENSKMAG00000012740
oryzias_latipes ENSORLG00020006231
oryzias_latipes ENSORLG00000027262
oryzias_latipes_asm223469v1 ENSORLG00015003572
oryzias_melastigma ENSOMEG00000016267
amphiprion_percula ENSAPEG00000003970
amphiprion_ocellaris ENSAOCG00000002942
acanthochromis_polyacanthus ENSAPOG00000014653
stegastes_partitus ENSSPAG00000018274
pundamilia_nyererei ENSPNYG00000021213
astatotilapia_calliptera ENSACLG00000013025
maylandia_zebra ENSMZEG00005021133
haplochromis_burtoni ENSHBUG00000003841
neolamprologus_brichardi ENSNBRG00000004144
oreochromis_niloticus ENSONIG00000012931
amphilophus_citrinellus ENSACIG00000010037
mastacembelus_armatus ENSMAMG00000014936
monopterus_albus ENSMALG00000015987
anabas_testudineus ENSATEG00000002504
seriola_dumerili ENSSDUG00000007479
seriola_lalandi_dorsalis ENSSLDG00000005819
gasterosteus_aculeatus ENSGACG00000019094
labrus_bergylta ENSLBEG00000000036
tetraodon_nigroviridis ENSTNIG00000019056
takifugu_rubripes ENSTRUG00000018062
mola_mola ENSMMOG00000012872
periophthalmus_magnuspinnatus ENSPMGG00000017998
hippocampus_comes ENSHCOG00000012416
gadus_morhua ENSGMOG00000000385
esox_lucius ENSELUG00000004216
ictalurus_punctatus ENSIPUG00000007892
scleropages_formosus ENSSFOG00015004765
paramormyrops_kingsleyae ENSPKIG00000013650
lepisosteus_oculatus ENSLOCG00000001602
