pteropus_vampyrus ENSPVAG00000008073
myotis_lucifugus ENSMLUG00000003218
ovis_aries ENSOARG00000008506
capra_hircus ENSCHIG00000024700
bison_bison_bison ENSBBBG00000005970
bos_mutus ENSBMUG00000018753
bos_taurus ENSBTAG00000006624
tursiops_truncatus ENSTTRG00000000504
sus_scrofa ENSSSCG00000038877
vicugna_pacos ENSVPAG00000009465
canis_lupus_familiaris ENSCAFG00000017902
vulpes_vulpes ENSVVUG00000006903
canis_lupus_dingo ENSCAFG00020023708
neovison_vison ENSNVIG00000020564
mustela_putorius_furo ENSMPUG00000013683
ursus_americanus ENSUAMG00000023315
ursus_maritimus ENSUMAG00000003399
ailuropoda_melanoleuca ENSAMEG00000008126
panthera_pardus ENSPPRG00000010329
panthera_tigris_altaica ENSPTIG00000018400
felis_catus ENSFCAG00000029974
equus_caballus ENSECAG00000018019
equus_asinus_asinus ENSEASG00005001395
pan_troglodytes ENSPTRG00000017432
pan_paniscus ENSPPAG00000038247
gorilla_gorilla ENSGGOG00000004915
homo_sapiens ENSG00000186334
pongo_abelii ENSPPYG00000015963
nomascus_leucogenys ENSNLEG00000010981
macaca_fascicularis ENSMFAG00000003733
macaca_mulatta ENSMMUG00000022870
macaca_nemestrina ENSMNEG00000029091
theropithecus_gelada ENSTGEG00000005562
chlorocebus_sabaeus ENSCSAG00000010946
cercocebus_atys ENSCATG00000034422
papio_anubis ENSPANG00000016764
mandrillus_leucophaeus ENSMLEG00000036664
piliocolobus_tephrosceles ENSPTEG00000017470
colobus_angolensis_palliatus ENSCANG00000041324
rhinopithecus_bieti ENSRBIG00000030720
rhinopithecus_roxellana ENSRROG00000044009
saimiri_boliviensis_boliviensis ENSSBOG00000017155
cebus_capucinus ENSCCAG00000027595
callithrix_jacchus ENSCJAG00000015538
aotus_nancymaae ENSANAG00000032963
carlito_syrichta ENSTSYG00000005258
propithecus_coquereli ENSPCOG00000011526
microcebus_murinus ENSMICG00000000691
prolemur_simus ENSPSMG00000022857
otolemur_garnettii ENSOGAG00000011328
castor_canadensis ENSCCNG00000009380
dipodomys_ordii ENSDORG00000012630
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017210
mus_musculus ENSMUSG00000049491
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016368
mus_spicilegus ENSMSIG00000008419
mus_pahari MGP_PahariEiJ_G0017503
rattus_norvegicus ENSRNOG00000021310
meriones_unguiculatus ENSMUGG00000021699
cricetulus_griseus_crigri-picr ENSCGRG00015020388
cricetulus_griseus_crigri ENSCGRG00000016591
cricetulus_griseus_chok1gshd ENSCGRG00001004759
mesocricetus_auratus ENSMAUG00000010340
peromyscus_maniculatus_bairdii ENSPEMG00000014810
microtus_ochrogaster ENSMOCG00000022181
nannospalax_galili ENSNGAG00000000782
jaculus_jaculus ENSJJAG00000012424
chinchilla_lanigera ENSCLAG00000013137
octodon_degus ENSODEG00000008013
cavia_aperea ENSCAPG00000015037
cavia_porcellus ENSCPOG00000009677
fukomys_damarensis ENSFDAG00000015917
ictidomys_tridecemlineatus ENSSTOG00000006878
spermophilus_dauricus ENSSDAG00000005837
marmota_marmota_marmota ENSMMMG00000014222
oryctolagus_cuniculus ENSOCUG00000015841
ochotona_princeps ENSOPRG00000006177
tupaia_belangeri ENSTBEG00000009122
choloepus_hoffmanni ENSCHOG00000006914
dasypus_novemcinctus ENSDNOG00000019271
procavia_capensis ENSPCAG00000001257
