fundulus_heteroclitus ENSFHEG00000022033
cyprinodon_variegatus ENSCVAG00000004113
amphilophus_citrinellus ENSACIG00000011809
pundamilia_nyererei ENSPNYG00000023140
astatotilapia_calliptera ENSACLG00000023372
maylandia_zebra ENSMZEG00005028008
haplochromis_burtoni ENSHBUG00000017513
neolamprologus_brichardi ENSNBRG00000021427
poecilia_latipinna ENSPLAG00000023525
poecilia_mexicana ENSPMEG00000008656
xiphophorus_maculatus ENSXMAG00000028722
gambusia_affinis ENSGAFG00000014005
cynoglossus_semilaevis ENSCSEG00000020872
amphiprion_ocellaris ENSAOCG00000001748
amphiprion_percula ENSAPEG00000002668
acanthochromis_polyacanthus ENSAPOG00000019474
stegastes_partitus ENSSPAG00000013359
anabas_testudineus ENSATEG00000016422
mastacembelus_armatus ENSMAMG00000005335
seriola_lalandi_dorsalis ENSSLDG00000000129
labrus_bergylta ENSLBEG00000021577
