chinchilla_lanigera ENSCLAG00000006107
octodon_degus ENSODEG00000014248
cavia_porcellus ENSCPOG00000014746
cavia_aperea ENSCAPG00000007185
heterocephalus_glaber_female ENSHGLG00000007985
heterocephalus_glaber_male ENSHGLG00100004032
fukomys_damarensis ENSFDAG00000001834
ictidomys_tridecemlineatus ENSSTOG00000009234
spermophilus_dauricus ENSSDAG00000014110
marmota_marmota_marmota ENSMMMG00000013373
urocitellus_parryii ENSUPAG00010002674
castor_canadensis ENSCCNG00000018995
dipodomys_ordii ENSDORG00000003612
mus_spicilegus ENSMSIG00000021613
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029189
mus_musculus ENSMUSG00000029788
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028189
mus_pahari MGP_PahariEiJ_G0021947
rattus_norvegicus ENSRNOG00000010467
meriones_unguiculatus ENSMUGG00000000636
cricetulus_griseus_chok1gshd ENSCGRG00001017275
cricetulus_griseus_crigri-picr ENSCGRG00015026696
cricetulus_griseus_crigri ENSCGRG00000012848
mesocricetus_auratus ENSMAUG00000012347
microtus_ochrogaster ENSMOCG00000004361
peromyscus_maniculatus_bairdii ENSPEMG00000022348
nannospalax_galili ENSNGAG00000016083
oryctolagus_cuniculus ENSOCUG00000006993
ochotona_princeps ENSOPRG00000000807
tupaia_belangeri ENSTBEG00000005734
pan_troglodytes ENSPTRG00000019695
pan_paniscus ENSPPAG00000028093
homo_sapiens ENSG00000158525
gorilla_gorilla ENSGGOG00000002414
pongo_abelii ENSPPYG00000018003
nomascus_leucogenys ENSNLEG00000012777
rhinopithecus_bieti ENSRBIG00000042923
rhinopithecus_roxellana ENSRROG00000029010
colobus_angolensis_palliatus ENSCANG00000029465
piliocolobus_tephrosceles ENSPTEG00000032322
macaca_fascicularis ENSMFAG00000045025
macaca_mulatta ENSMMUG00000009494
macaca_nemestrina ENSMNEG00000029973
papio_anubis ENSPANG00000006518
mandrillus_leucophaeus ENSMLEG00000040564
theropithecus_gelada ENSTGEG00000022892
cercocebus_atys ENSCATG00000033540
chlorocebus_sabaeus ENSCSAG00000009783
saimiri_boliviensis_boliviensis ENSSBOG00000024319
cebus_capucinus ENSCCAG00000033381
callithrix_jacchus ENSCJAG00000010683
aotus_nancymaae ENSANAG00000035744
carlito_syrichta ENSTSYG00000036752
propithecus_coquereli ENSPCOG00000027698
microcebus_murinus ENSMICG00000006108
prolemur_simus ENSPSMG00000025889
otolemur_garnettii ENSOGAG00000017038
myotis_lucifugus ENSMLUG00000024263
dasypus_novemcinctus ENSDNOG00000008551
loxodonta_africana ENSLAFG00000005542
procavia_capensis ENSPCAG00000001201
echinops_telfairi ENSETEG00000004978
choloepus_hoffmanni ENSCHOG00000005324
pteropus_vampyrus ENSPVAG00000014428
myotis_lucifugus ENSMLUG00000015407
vicugna_pacos ENSVPAG00000010854
tursiops_truncatus ENSTTRG00000002625
sus_scrofa ENSSSCG00000016555
bos_mutus ENSBMUG00000023849
bison_bison_bison ENSBBBG00000014792
capra_hircus ENSCHIG00000016698
ursus_americanus ENSUAMG00000025799
ursus_maritimus ENSUMAG00000009321
ailuropoda_melanoleuca ENSAMEG00000005521
neovison_vison ENSNVIG00000022861
mustela_putorius_furo ENSMPUG00000005109
canis_lupus_familiaris ENSCAFG00000001486
canis_lupus_dingo ENSCAFG00020023378
vulpes_vulpes ENSVVUG00000012489
panthera_tigris_altaica ENSPTIG00000019072
panthera_pardus ENSPPRG00000000542
felis_catus ENSFCAG00000009330
ovis_aries ENSOARG00000005292
bos_taurus ENSBTAG00000013476
equus_caballus ENSECAG00000029504
equus_asinus_asinus ENSEASG00005008824
erinaceus_europaeus ENSEEUG00000001881
sorex_araneus ENSSARG00000013992
phascolarctos_cinereus ENSPCIG00000027460
notamacropus_eugenii ENSMEUG00000000650
sarcophilus_harrisii ENSSHAG00000006574
monodelphis_domestica ENSMODG00000014548
