meriones_unguiculatus ENSMUGG00000013412
mus_spicilegus ENSMSIG00000025253
peromyscus_maniculatus_bairdii ENSPEMG00000030213
spermophilus_dauricus ENSSDAG00000011996
marmota_marmota_marmota ENSMMMG00000023874
urocitellus_parryii ENSUPAG00010019826
prolemur_simus ENSPSMG00000007701
equus_caballus ENSECAG00000037181
equus_asinus_asinus ENSEASG00005011233
bos_taurus ENSBTAG00000049596
bos_mutus ENSBMUG00000021509
bison_bison_bison ENSBBBG00000002577
ursus_maritimus ENSUMAG00000013853
ursus_americanus ENSUAMG00000024235
dasypus_novemcinctus ENSDNOG00000037777
