haplochromis_burtoni ENSHBUG00000007719
pundamilia_nyererei ENSPNYG00000010835
maylandia_zebra ENSMZEG00005011894
astatotilapia_calliptera ENSACLG00000008418
neolamprologus_brichardi ENSNBRG00000005115
oreochromis_niloticus ENSONIG00000011375
amphilophus_citrinellus ENSACIG00000008207
kryptolebias_marmoratus ENSKMAG00000018437
anabas_testudineus ENSATEG00000006557
mola_mola ENSMMOG00000010585
takifugu_rubripes ENSTRUG00000018604
amphiprion_percula ENSAPEG00000008380
amphiprion_ocellaris ENSAOCG00000016779
acanthochromis_polyacanthus ENSAPOG00000004401
stegastes_partitus ENSSPAG00000019317
fundulus_heteroclitus ENSFHEG00000003478
cyprinodon_variegatus ENSCVAG00000003650
seriola_lalandi_dorsalis ENSSLDG00000022563
seriola_dumerili ENSSDUG00000006474
scophthalmus_maximus ENSSMAG00000009494
oryzias_latipes ENSORLG00000001027
oryzias_latipes_asm223469v1 ENSORLG00015003826
oryzias_melastigma ENSOMEG00000022901
labrus_bergylta ENSLBEG00000025257
hippocampus_comes ENSHCOG00000001743
mastacembelus_armatus ENSMAMG00000006795
periophthalmus_magnuspinnatus ENSPMGG00000021323
esox_lucius ENSELUG00000005291
pygocentrus_nattereri ENSPNAG00000001230
ictalurus_punctatus ENSIPUG00000019298
danio_rerio ENSDARG00000011825
astyanax_mexicanus ENSAMXG00000033199
paramormyrops_kingsleyae ENSPKIG00000005747
lepisosteus_oculatus ENSLOCG00000001819
gallus_gallus ENSGALG00000014648
meleagris_gallopavo ENSMGAG00000016928
coturnix_japonica ENSCJPG00005000396
numida_meleagris ENSNMEG00000007011
anas_platyrhynchos_platyrhynchos ENSAPLG00000008041
anser_brachyrhynchus ENSABRG00000019422
melopsittacus_undulatus ENSMUNG00000016746
calidris_pygmaea ENSCPGG00000008963
calidris_pugnax ENSCPUG00000018920
manacus_vitellinus ENSMVIG00005018576
lepidothrix_coronata ENSLCOG00000006443
ficedula_albicollis ENSFALG00000009024
cyanistes_caeruleus ENSCCEG00000017440
parus_major ENSPMJG00000006170
lonchura_striata_domestica ENSLSDG00000017136
taeniopygia_guttata ENSTGUG00000000683
zonotrichia_albicollis ENSZALG00000004072
serinus_canaria ENSSCAG00000007424
apteryx_haastii ENSAHAG00000015732
apteryx_rowi ENSARWG00000008843
apteryx_owenii ENSAOWG00000012649
dromaius_novaehollandiae ENSDNVG00000016389
nothoprocta_perdicaria ENSNPEG00000005979
crocodylus_porosus ENSCPRG00005002682
chrysemys_picta_bellii ENSCPBG00000010605
chelonoidis_abingdonii ENSCABG00000000525
pelodiscus_sinensis ENSPSIG00000011904
anolis_carolinensis ENSACAG00000000119
pogona_vitticeps ENSPVIG00000011602
notechis_scutatus ENSNSUG00000006108
salvator_merianae ENSSMRG00000007661
sphenodon_punctatus ENSSPUG00000002877
