monopterus_albus ENSMALG00000019067
mastacembelus_armatus ENSMAMG00000010877
anabas_testudineus ENSATEG00000020317
seriola_dumerili ENSSDUG00000010159
seriola_lalandi_dorsalis ENSSLDG00000003366
cyprinodon_variegatus ENSCVAG00000012875
fundulus_heteroclitus ENSFHEG00000004819
gambusia_affinis ENSGAFG00000002467
gambusia_affinis ENSGAFG00000002490
poecilia_formosa ENSPFOG00000014203
poecilia_formosa ENSPFOG00000000754
poecilia_mexicana ENSPMEG00000013985
poecilia_latipinna ENSPLAG00000013249
poecilia_reticulata ENSPREG00000022757
xiphophorus_maculatus ENSXMAG00000010290
xiphophorus_couchianus ENSXCOG00000006345
kryptolebias_marmoratus ENSKMAG00000007340
oryzias_latipes ENSORLG00020010865
oryzias_latipes_asm223469v1 ENSORLG00015002757
oryzias_latipes ENSORLG00000006445
oryzias_melastigma ENSOMEG00000020378
pundamilia_nyererei ENSPNYG00000022482
haplochromis_burtoni ENSHBUG00000022676
maylandia_zebra ENSMZEG00005006383
astatotilapia_calliptera ENSACLG00000002140
neolamprologus_brichardi ENSNBRG00000009235
oreochromis_niloticus ENSONIG00000011833
amphilophus_citrinellus ENSACIG00000003612
amphiprion_percula ENSAPEG00000019620
amphiprion_ocellaris ENSAOCG00000013884
acanthochromis_polyacanthus ENSAPOG00000006062
stegastes_partitus ENSSPAG00000006475
tetraodon_nigroviridis ENSTNIG00000015119
takifugu_rubripes ENSTRUG00000016288
mola_mola ENSMMOG00000002426
labrus_bergylta ENSLBEG00000015355
gasterosteus_aculeatus ENSGACG00000008145
scophthalmus_maximus ENSSMAG00000019272
cynoglossus_semilaevis ENSCSEG00000001752
periophthalmus_magnuspinnatus ENSPMGG00000011131
hippocampus_comes ENSHCOG00000004263
gadus_morhua ENSGMOG00000008176
esox_lucius ENSELUG00000014092
pygocentrus_nattereri ENSPNAG00000018135
astyanax_mexicanus ENSAMXG00000041841
ictalurus_punctatus ENSIPUG00000000830
ictalurus_punctatus ENSIPUG00000001014
danio_rerio ENSDARG00000073997
scleropages_formosus ENSSFOG00015023299
paramormyrops_kingsleyae ENSPKIG00000024378
