monopterus_albus ENSMALG00000002799
mastacembelus_armatus ENSMAMG00000013088
anabas_testudineus ENSATEG00000000383
seriola_lalandi_dorsalis ENSSLDG00000008462
seriola_lalandi_dorsalis ENSSLDG00000014622
seriola_dumerili ENSSDUG00000002011
takifugu_rubripes ENSTRUG00000023595
tetraodon_nigroviridis ENSTNIG00000018353
mola_mola ENSMMOG00000003532
labrus_bergylta ENSLBEG00000006318
gasterosteus_aculeatus ENSGACG00000012308
xiphophorus_couchianus ENSXCOG00000019603
xiphophorus_maculatus ENSXMAG00000025324
gambusia_affinis ENSGAFG00000015144
poecilia_formosa ENSPFOG00000016391
poecilia_mexicana ENSPMEG00000010933
poecilia_latipinna ENSPLAG00000010899
poecilia_reticulata ENSPREG00000016372
cyprinodon_variegatus ENSCVAG00000001756
fundulus_heteroclitus ENSFHEG00000018303
kryptolebias_marmoratus ENSKMAG00000003676
oryzias_latipes_asm223469v1 ENSORLG00015017161
oryzias_latipes ENSORLG00020011101
oryzias_latipes ENSORLG00000009373
oryzias_melastigma ENSOMEG00000005885
maylandia_zebra ENSMZEG00005022466
pundamilia_nyererei ENSPNYG00000006097
astatotilapia_calliptera ENSACLG00000017478
neolamprologus_brichardi ENSNBRG00000006284
oreochromis_niloticus ENSONIG00000006193
amphilophus_citrinellus ENSACIG00000011340
amphiprion_percula ENSAPEG00000002735
amphiprion_ocellaris ENSAOCG00000016844
acanthochromis_polyacanthus ENSAPOG00000024091
stegastes_partitus ENSSPAG00000003582
scophthalmus_maximus ENSSMAG00000017958
cynoglossus_semilaevis ENSCSEG00000001827
periophthalmus_magnuspinnatus ENSPMGG00000021469
hippocampus_comes ENSHCOG00000007136
gadus_morhua ENSGMOG00000008052
esox_lucius ENSELUG00000010539
pygocentrus_nattereri ENSPNAG00000015627
astyanax_mexicanus ENSAMXG00000016251
ictalurus_punctatus ENSIPUG00000022731
danio_rerio ENSDARG00000003927
paramormyrops_kingsleyae ENSPKIG00000000315
lepisosteus_oculatus ENSLOCG00000018346
oryctolagus_cuniculus ENSOCUG00000003284
ochotona_princeps ENSOPRG00000012379
tupaia_belangeri ENSTBEG00000011694
ovis_aries ENSOARG00000008089
capra_hircus ENSCHIG00000000615
bos_taurus ENSBTAG00000019486
bos_mutus ENSBMUG00000013346
bison_bison_bison ENSBBBG00000014719
sus_scrofa ENSSSCG00000035114
vicugna_pacos ENSVPAG00000004946
tursiops_truncatus ENSTTRG00000004625
myotis_lucifugus ENSMLUG00000007413
ailuropoda_melanoleuca ENSAMEG00000018833
ursus_americanus ENSUAMG00000006925
mustela_putorius_furo ENSMPUG00000018398
neovison_vison ENSNVIG00000003622
canis_lupus_familiaris ENSCAFG00000001884
canis_lupus_dingo ENSCAFG00020016272
vulpes_vulpes ENSVVUG00000013775
panthera_pardus ENSPPRG00000018271
panthera_tigris_altaica ENSPTIG00000000081
felis_catus ENSFCAG00000026768
sorex_araneus ENSSARG00000005942
equus_asinus_asinus ENSEASG00005019635
equus_caballus ENSECAG00000005767
erinaceus_europaeus ENSEEUG00000012820
pan_troglodytes ENSPTRG00000048293
pan_troglodytes ENSPTRG00000044080
homo_sapiens ENSG00000157224
gorilla_gorilla ENSGGOG00000037636
pongo_abelii ENSPPYG00000017829
nomascus_leucogenys ENSNLEG00000015168
rhinopithecus_bieti ENSRBIG00000012842
rhinopithecus_roxellana ENSRROG00000026387
colobus_angolensis_palliatus ENSCANG00000038207
piliocolobus_tephrosceles ENSPTEG00000027616
macaca_fascicularis ENSMFAG00000017561
macaca_nemestrina ENSMNEG00000023407
macaca_mulatta ENSMMUG00000023657
cercocebus_atys ENSCATG00000043252
mandrillus_leucophaeus ENSMLEG00000017468
papio_anubis ENSPANG00000011873
theropithecus_gelada ENSTGEG00000003975
chlorocebus_sabaeus ENSCSAG00000019124
saimiri_boliviensis_boliviensis ENSSBOG00000018560
saimiri_boliviensis_boliviensis ENSSBOG00000016005
cebus_capucinus ENSCCAG00000018810
callithrix_jacchus ENSCJAG00000023041
aotus_nancymaae ENSANAG00000019188
carlito_syrichta ENSTSYG00000033457
propithecus_coquereli ENSPCOG00000005943
