tetraodon_nigroviridis ENSTNIG00000017779
takifugu_rubripes ENSTRUG00000014705
cynoglossus_semilaevis ENSCSEG00000008978
monopterus_albus ENSMALG00000016388
anabas_testudineus ENSATEG00000017939
periophthalmus_magnuspinnatus ENSPMGG00000019020
poecilia_formosa ENSPFOG00000001178
poecilia_latipinna ENSPLAG00000019979
poecilia_mexicana ENSPMEG00000022218
poecilia_reticulata ENSPREG00000003443
xiphophorus_maculatus ENSXMAG00000000629
xiphophorus_couchianus ENSXCOG00000020198
gambusia_affinis ENSGAFG00000018310
cyprinodon_variegatus ENSCVAG00000014314
fundulus_heteroclitus ENSFHEG00000013340
kryptolebias_marmoratus ENSKMAG00000001602
oryzias_latipes ENSORLG00020002566
oryzias_latipes ENSORLG00000003995
oryzias_latipes_asm223469v1 ENSORLG00015013388
oryzias_melastigma ENSOMEG00000015759
stegastes_partitus ENSSPAG00000005883
mola_mola ENSMMOG00000020084
gasterosteus_aculeatus ENSGACG00000006429
labrus_bergylta ENSLBEG00000024240
amphiprion_percula ENSAPEG00000016729
amphiprion_ocellaris ENSAOCG00000024209
acanthochromis_polyacanthus ENSAPOG00000011814
haplochromis_burtoni ENSHBUG00000020171
astatotilapia_calliptera ENSACLG00000022269
maylandia_zebra ENSMZEG00005007545
neolamprologus_brichardi ENSNBRG00000008666
oreochromis_niloticus ENSONIG00000010859
mastacembelus_armatus ENSMAMG00000010099
seriola_dumerili ENSSDUG00000007047
seriola_lalandi_dorsalis ENSSLDG00000013326
scophthalmus_maximus ENSSMAG00000012774
gadus_morhua ENSGMOG00000002779
esox_lucius ENSELUG00000003091
esox_lucius ENSELUG00000007010
pygocentrus_nattereri ENSPNAG00000015854
astyanax_mexicanus ENSAMXG00000039477
danio_rerio ENSDARG00000090140
scleropages_formosus ENSSFOG00015000407
paramormyrops_kingsleyae ENSPKIG00000025637
scleropages_formosus ENSSFOG00015012775
astyanax_mexicanus ENSAMXG00000034142
pygocentrus_nattereri ENSPNAG00000002030
ictalurus_punctatus ENSIPUG00000004133
danio_rerio ENSDARG00000114159
lepisosteus_oculatus ENSLOCG00000011414
apteryx_owenii ENSAOWG00000008977
apteryx_rowi ENSARWG00000018229
nothoprocta_perdicaria ENSNPEG00000001817
manacus_vitellinus ENSMVIG00005000626
junco_hyemalis ENSJHYG00000004247
coturnix_japonica ENSCJPG00005011986
numida_meleagris ENSNMEG00000007081
melopsittacus_undulatus ENSMUNG00000000815
crocodylus_porosus ENSCPRG00005015353
chelonoidis_abingdonii ENSCABG00000005908
notechis_scutatus ENSNSUG00000015309
ornithorhynchus_anatinus ENSOANG00000009617
canis_lupus_dingo ENSCAFG00020002143
vulpes_vulpes ENSVVUG00000008383
ursus_americanus ENSUAMG00000017594
ursus_maritimus ENSUMAG00000022206
equus_asinus_asinus ENSEASG00005021706
myotis_lucifugus ENSMLUG00000008871
erinaceus_europaeus ENSEEUG00000008090
sorex_araneus ENSSARG00000003663
fukomys_damarensis ENSFDAG00000012099
octodon_degus ENSODEG00000006740
dipodomys_ordii ENSDORG00000007796
castor_canadensis ENSCCNG00000025254
mus_spicilegus ENSMSIG00000018290
mus_musculus ENSMUSG00000048004
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019042
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018190
mus_pahari MGP_PahariEiJ_G0029950
meriones_unguiculatus ENSMUGG00000000806
peromyscus_maniculatus_bairdii ENSPEMG00000026386
microtus_ochrogaster ENSMOCG00000014000
cricetulus_griseus_chok1gshd ENSCGRG00001024227
cricetulus_griseus_crigri ENSCGRG00000001729
cricetulus_griseus_crigri-picr ENSCGRG00015014323
mesocricetus_auratus ENSMAUG00000015322
nannospalax_galili ENSNGAG00000021516
jaculus_jaculus ENSJJAG00000016048
urocitellus_parryii ENSUPAG00010012807
spermophilus_dauricus ENSSDAG00000011833
marmota_marmota_marmota ENSMMMG00000015455
ochotona_princeps ENSOPRG00000016116
chlorocebus_sabaeus ENSCSAG00000013547
echinops_telfairi ENSETEG00000019159
bison_bison_bison ENSBBBG00000004414
ovis_aries ENSOARG00000009907
loxodonta_africana ENSLAFG00000015261
cavia_aperea ENSCAPG00000011995
sarcophilus_harrisii ENSSHAG00000010382
phascolarctos_cinereus ENSPCIG00000034776
apteryx_haastii ENSAHAG00000003999
meleagris_gallopavo ENSMGAG00000010300
sphenodon_punctatus ENSSPUG00000007583
monodelphis_domestica ENSMODG00000001396
xenopus_tropicalis ENSXETG00000032855
eptatretus_burgeri ENSEBUG00000008688
