pan_troglodytes ENSPTRG00000042690
pan_paniscus ENSPPAG00000042449
homo_sapiens ENSG00000120341
gorilla_gorilla ENSGGOG00000017107
pongo_abelii ENSPPYG00000000476
nomascus_leucogenys ENSNLEG00000015508
piliocolobus_tephrosceles ENSPTEG00000009382
colobus_angolensis_palliatus ENSCANG00000039959
rhinopithecus_bieti ENSRBIG00000031958
rhinopithecus_roxellana ENSRROG00000038477
papio_anubis ENSPANG00000017268
mandrillus_leucophaeus ENSMLEG00000043514
theropithecus_gelada ENSTGEG00000002107
cercocebus_atys ENSCATG00000030285
chlorocebus_sabaeus ENSCSAG00000012020
macaca_fascicularis ENSMFAG00000040538
macaca_mulatta ENSMMUG00000020320
macaca_nemestrina ENSMNEG00000040574
cebus_capucinus ENSCCAG00000020549
saimiri_boliviensis_boliviensis ENSSBOG00000022359
callithrix_jacchus ENSCJAG00000008493
aotus_nancymaae ENSANAG00000028432
carlito_syrichta ENSTSYG00000000367
microcebus_murinus ENSMICG00000003111
propithecus_coquereli ENSPCOG00000013533
prolemur_simus ENSPSMG00000006477
otolemur_garnettii ENSOGAG00000012395
tupaia_belangeri ENSTBEG00000012904
chinchilla_lanigera ENSCLAG00000013444
octodon_degus ENSODEG00000002209
cavia_porcellus ENSCPOG00000005359
cavia_aperea ENSCAPG00000011915
heterocephalus_glaber_female ENSHGLG00000008598
heterocephalus_glaber_male ENSHGLG00100009695
fukomys_damarensis ENSFDAG00000009614
urocitellus_parryii ENSUPAG00010002521
ictidomys_tridecemlineatus ENSSTOG00000013260
spermophilus_dauricus ENSSDAG00000008991
marmota_marmota_marmota ENSMMMG00000017206
castor_canadensis ENSCCNG00000005850
dipodomys_ordii ENSDORG00000007321
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015552
mus_musculus ENSMUSG00000026589
mus_spicilegus ENSMSIG00000015845
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014745
mus_pahari MGP_PahariEiJ_G0027981
rattus_norvegicus ENSRNOG00000005229
meriones_unguiculatus ENSMUGG00000013383
peromyscus_maniculatus_bairdii ENSPEMG00000020079
microtus_ochrogaster ENSMOCG00000021485
cricetulus_griseus_crigri ENSCGRG00000004960
cricetulus_griseus_crigri-picr ENSCGRG00015013475
cricetulus_griseus_chok1gshd ENSCGRG00001023605
mesocricetus_auratus ENSMAUG00000001343
nannospalax_galili ENSNGAG00000023770
jaculus_jaculus ENSJJAG00000024089
oryctolagus_cuniculus ENSOCUG00000005206
ochotona_princeps ENSOPRG00000004111
capra_hircus ENSCHIG00000014044
ovis_aries ENSOARG00000015547
bos_mutus ENSBMUG00000012150
bos_taurus ENSBTAG00000000854
bison_bison_bison ENSBBBG00000001446
vicugna_pacos ENSVPAG00000004922
tursiops_truncatus ENSTTRG00000015038
sus_scrofa ENSSSCG00000039332
equus_caballus ENSECAG00000007213
equus_asinus_asinus ENSEASG00005016861
ursus_maritimus ENSUMAG00000020498
ursus_americanus ENSUAMG00000010179
ailuropoda_melanoleuca ENSAMEG00000014441
neovison_vison ENSNVIG00000012922
mustela_putorius_furo ENSMPUG00000005087
canis_lupus_familiaris ENSCAFG00000014126
canis_lupus_dingo ENSCAFG00020016665
vulpes_vulpes ENSVVUG00000012877
panthera_pardus ENSPPRG00000019503
panthera_tigris_altaica ENSPTIG00000013938
