manacus_vitellinus ENSMVIG00005012328
lepidothrix_coronata ENSLCOG00000015436
junco_hyemalis ENSJHYG00000002315
zonotrichia_albicollis ENSZALG00000012781
serinus_canaria ENSSCAG00000006045
cyanistes_caeruleus ENSCCEG00000008549
parus_major ENSPMJG00000014127
ficedula_albicollis ENSFALG00000007045
taeniopygia_guttata ENSTGUG00000005295
lonchura_striata_domestica ENSLSDG00000015766
calidris_pugnax ENSCPUG00000010502
calidris_pygmaea ENSCPGG00000018981
gallus_gallus ENSGALG00000024466
apteryx_rowi ENSARWG00000008458
apteryx_owenii ENSAOWG00000009964
apteryx_haastii ENSAHAG00000018693
dromaius_novaehollandiae ENSDNVG00000013549
chelonoidis_abingdonii ENSCABG00000013315
