scophthalmus_maximus ENSSMAG00000003212
cynoglossus_semilaevis ENSCSEG00000017753
seriola_lalandi_dorsalis ENSSLDG00000019167
seriola_dumerili ENSSDUG00000002625
amphiprion_percula ENSAPEG00000006355
amphiprion_ocellaris ENSAOCG00000011621
acanthochromis_polyacanthus ENSAPOG00000018926
stegastes_partitus ENSSPAG00000009182
mastacembelus_armatus ENSMAMG00000020735
neolamprologus_brichardi ENSNBRG00000014607
amphilophus_citrinellus ENSACIG00000004114
seriola_lalandi_dorsalis ENSSLDG00000019178
gambusia_affinis ENSGAFG00000012163
periophthalmus_magnuspinnatus ENSPMGG00000017136
takifugu_rubripes ENSTRUG00000015277
astyanax_mexicanus ENSAMXG00000000297
tursiops_truncatus ENSTTRG00000005786
choloepus_hoffmanni ENSCHOG00000006155
monodelphis_domestica ENSMODG00000000514
apteryx_owenii ENSAOWG00000014568
apteryx_rowi ENSARWG00000010975
cyanistes_caeruleus ENSCCEG00000010078
parus_major ENSPMJG00000001557
zonotrichia_albicollis ENSZALG00000012380
