macaca_mulatta ENSMMUG00000004658
colobus_angolensis_palliatus ENSCANG00000024479
propithecus_coquereli ENSPCOG00000023741
pan_paniscus ENSPPAG00000002758
pan_troglodytes ENSPTRG00000049852
gorilla_gorilla ENSGGOG00000027229
nomascus_leucogenys ENSNLEG00000033133
cricetulus_griseus_crigri-picr ENSCGRG00015013701
meriones_unguiculatus ENSMUGG00000015404
spermophilus_dauricus ENSSDAG00000016132
urocitellus_parryii ENSUPAG00010010207
pongo_abelii ENSPPYG00000009052
prolemur_simus ENSPSMG00000023754
castor_canadensis ENSCCNG00000022027
ursus_maritimus ENSUMAG00000019713
ursus_americanus ENSUAMG00000015175
neovison_vison ENSNVIG00000017499
vulpes_vulpes ENSVVUG00000004342
panthera_tigris_altaica ENSPTIG00000006674
panthera_pardus ENSPPRG00000021544
felis_catus ENSFCAG00000035846
bos_mutus ENSBMUG00000022080
bos_taurus ENSBTAG00000053971
bison_bison_bison ENSBBBG00000021252
sus_scrofa ENSSSCG00000037947
sorex_araneus ENSSARG00000011404
piliocolobus_tephrosceles ENSPTEG00000035049
theropithecus_gelada ENSTGEG00000015053
echinops_telfairi ENSETEG00000005339
apteryx_rowi ENSARWG00000013515
apteryx_haastii ENSAHAG00000001547
apteryx_owenii ENSAOWG00000003807
dromaius_novaehollandiae ENSDNVG00000005448
nothoprocta_perdicaria ENSNPEG00000013549
crocodylus_porosus ENSCPRG00005014152
notechis_scutatus ENSNSUG00000019715
