papio_anubis ENSPANG00000031188
theropithecus_gelada ENSTGEG00000004960
macaca_fascicularis ENSMFAG00000039574
cebus_capucinus ENSCCAG00000023290
aotus_nancymaae ENSANAG00000031644
tupaia_belangeri ENSTBEG00000007823
cavia_aperea ENSCAPG00000012705
cavia_porcellus ENSCPOG00000037816
cavia_aperea ENSCAPG00000014312
marmota_marmota_marmota ENSMMMG00000001346
urocitellus_parryii ENSUPAG00010011181
cricetulus_griseus_crigri-picr ENSCGRG00015019106
cricetulus_griseus_chok1gshd ENSCGRG00001020289
peromyscus_maniculatus_bairdii ENSPEMG00000027735
mus_spicilegus ENSMSIG00000004091
vicugna_pacos ENSVPAG00000006266
sus_scrofa ENSSSCG00000032314
choloepus_hoffmanni ENSCHOG00000007327
procavia_capensis ENSPCAG00000007715
salvator_merianae ENSSMRG00000020913
paramormyrops_kingsleyae ENSPKIG00000024615
