mandrillus_leucophaeus ENSMLEG00000041915
aotus_nancymaae ENSANAG00000032025
notamacropus_eugenii ENSMEUG00000007852
meleagris_gallopavo ENSMGAG00000001624
scophthalmus_maximus ENSSMAG00000017785
scleropages_formosus ENSSFOG00015021797
danio_rerio ENSDARG00000097415
cricetulus_griseus_crigri-picr ENSCGRG00015021039
gopherus_agassizii ENSGAGG00000024782
tetraodon_nigroviridis ENSTNIG00000000189
periophthalmus_magnuspinnatus ENSPMGG00000010130
kryptolebias_marmoratus ENSKMAG00000007556
latimeria_chalumnae ENSLACG00000016045
latimeria_chalumnae ENSLACG00000022593
latimeria_chalumnae ENSLACG00000013383
latimeria_chalumnae ENSLACG00000000335
petromyzon_marinus ENSPMAG00000001559
eptatretus_burgeri ENSEBUG00000004200
