phascolarctos_cinereus ENSPCIG00000021866
notamacropus_eugenii ENSMEUG00000010795
sarcophilus_harrisii ENSSHAG00000015672
monodelphis_domestica ENSMODG00000012752
ornithorhynchus_anatinus ENSOANG00000000137
pogona_vitticeps ENSPVIG00000004355
anolis_carolinensis ENSACAG00000008247
salvator_merianae ENSSMRG00000022270
notechis_scutatus ENSNSUG00000002939
sphenodon_punctatus ENSSPUG00000011271
gopherus_agassizii ENSGAGG00000018909
chelonoidis_abingdonii ENSCABG00000020973
chrysemys_picta_bellii ENSCPBG00000019546
pelodiscus_sinensis ENSPSIG00000015098
lonchura_striata_domestica ENSLSDG00000011147
taeniopygia_guttata ENSTGUG00000008704
serinus_canaria ENSSCAG00000008116
junco_hyemalis ENSJHYG00000013050
zonotrichia_albicollis ENSZALG00000005729
cyanistes_caeruleus ENSCCEG00000008997
parus_major ENSPMJG00000009716
ficedula_albicollis ENSFALG00000010319
lepidothrix_coronata ENSLCOG00000013553
manacus_vitellinus ENSMVIG00005012188
melopsittacus_undulatus ENSMUNG00000008483
calidris_pygmaea ENSCPGG00000013582
calidris_pugnax ENSCPUG00000018809
gallus_gallus ENSGALG00000007048
coturnix_japonica ENSCJPG00005020644
meleagris_gallopavo ENSMGAG00000009261
numida_meleagris ENSNMEG00000023127
anser_brachyrhynchus ENSABRG00000010010
anas_platyrhynchos_platyrhynchos ENSAPLG00000008430
apteryx_rowi ENSARWG00000003898
apteryx_haastii ENSAHAG00000003079
apteryx_owenii ENSAOWG00000000994
dromaius_novaehollandiae ENSDNVG00000011874
nothoprocta_perdicaria ENSNPEG00000008004
crocodylus_porosus ENSCPRG00005017667
nannospalax_galili ENSNGAG00000010589
nannospalax_galili ENSNGAG00000012056
loxodonta_africana ENSLAFG00000009928
procavia_capensis ENSPCAG00000003764
echinops_telfairi ENSETEG00000003546
choloepus_hoffmanni ENSCHOG00000012372
dasypus_novemcinctus ENSDNOG00000017034
pan_troglodytes ENSPTRG00000007493
pan_paniscus ENSPPAG00000040616
gorilla_gorilla ENSGGOG00000014873
homo_sapiens ENSG00000182253
pongo_abelii ENSPPYG00000006810
nomascus_leucogenys ENSNLEG00000000835
colobus_angolensis_palliatus ENSCANG00000008676
piliocolobus_tephrosceles ENSPTEG00000036924
rhinopithecus_bieti ENSRBIG00000030744
rhinopithecus_roxellana ENSRROG00000037984
mandrillus_leucophaeus ENSMLEG00000027302
cercocebus_atys ENSCATG00000025065
theropithecus_gelada ENSTGEG00000011159
papio_anubis ENSPANG00000020514
macaca_mulatta ENSMMUG00000005220
macaca_fascicularis ENSMFAG00000037324
macaca_nemestrina ENSMNEG00000033330
chlorocebus_sabaeus ENSCSAG00000016942
saimiri_boliviensis_boliviensis ENSSBOG00000010504
cebus_capucinus ENSCCAG00000034101
callithrix_jacchus ENSCJAG00000016926
aotus_nancymaae ENSANAG00000036475
carlito_syrichta ENSTSYG00000004510
propithecus_coquereli ENSPCOG00000024463
microcebus_murinus ENSMICG00000007299
prolemur_simus ENSPSMG00000008451
otolemur_garnettii ENSOGAG00000028673
tupaia_belangeri ENSTBEG00000016210
castor_canadensis ENSCCNG00000012318
dipodomys_ordii ENSDORG00000015364
mus_spicilegus ENSMSIG00000004856
mus_musculus ENSMUSG00000030554
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030954
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029852
mus_pahari MGP_PahariEiJ_G0013076
rattus_norvegicus ENSRNOG00000014030
meriones_unguiculatus ENSMUGG00000002632
cricetulus_griseus_crigri-picr ENSCGRG00015021326
cricetulus_griseus_crigri ENSCGRG00000002483
cricetulus_griseus_chok1gshd ENSCGRG00001009711
mesocricetus_auratus ENSMAUG00000017151
microtus_ochrogaster ENSMOCG00000013384
peromyscus_maniculatus_bairdii ENSPEMG00000012779
chinchilla_lanigera ENSCLAG00000012214
octodon_degus ENSODEG00000014754
cavia_porcellus ENSCPOG00000003728
cavia_aperea ENSCAPG00000000337
heterocephalus_glaber_female ENSHGLG00000015122
heterocephalus_glaber_male ENSHGLG00100013293
fukomys_damarensis ENSFDAG00000013593
urocitellus_parryii ENSUPAG00010010495
ictidomys_tridecemlineatus ENSSTOG00000022419
spermophilus_dauricus ENSSDAG00000014983
marmota_marmota_marmota ENSMMMG00000020891
ochotona_princeps ENSOPRG00000014518
equus_caballus ENSECAG00000000487
equus_asinus_asinus ENSEASG00005017655
felis_catus ENSFCAG00000042066
panthera_pardus ENSPPRG00000007913
pteropus_vampyrus ENSPVAG00000002289
capra_hircus ENSCHIG00000016711
ovis_aries ENSOARG00000009990
bos_mutus ENSBMUG00000015857
bison_bison_bison ENSBBBG00000006816
bos_taurus ENSBTAG00000011752
tursiops_truncatus ENSTTRG00000005963
sus_scrofa ENSSSCG00000035223
erinaceus_europaeus ENSEEUG00000010871
ursus_americanus ENSUAMG00000002357
ursus_maritimus ENSUMAG00000025086
ailuropoda_melanoleuca ENSAMEG00000005568
mustela_putorius_furo ENSMPUG00000010763
canis_lupus_familiaris ENSCAFG00000010852
canis_lupus_dingo ENSCAFG00020019857
vulpes_vulpes ENSVVUG00000014213
myotis_lucifugus ENSMLUG00000016533
oryctolagus_cuniculus ENSOCUG00000003341
vicugna_pacos ENSVPAG00000011228
neovison_vison ENSNVIG00000002754
neovison_vison ENSNVIG00000002778
canis_lupus_dingo ENSCAFG00020019844
vulpes_vulpes ENSVVUG00000014200
ursus_americanus ENSUAMG00000021720
jaculus_jaculus ENSJJAG00000015758
lepidothrix_coronata ENSLCOG00000013554
xenopus_tropicalis ENSXETG00000018811
latimeria_chalumnae ENSLACG00000009891
seriola_lalandi_dorsalis ENSSLDG00000016510
seriola_dumerili ENSSDUG00000012177
scophthalmus_maximus ENSSMAG00000002028
mastacembelus_armatus ENSMAMG00000009518
monopterus_albus ENSMALG00000007978
anabas_testudineus ENSATEG00000005115
fundulus_heteroclitus ENSFHEG00000004554
cyprinodon_variegatus ENSCVAG00000000075
xiphophorus_maculatus ENSXMAG00000003710
xiphophorus_couchianus ENSXCOG00000020272
gambusia_affinis ENSGAFG00000002316
poecilia_formosa ENSPFOG00000019198
poecilia_latipinna ENSPLAG00000017513
poecilia_mexicana ENSPMEG00000002841
poecilia_reticulata ENSPREG00000006229
kryptolebias_marmoratus ENSKMAG00000015444
oryzias_latipes ENSORLG00000008497
oryzias_latipes ENSORLG00020003857
