acanthochromis_polyacanthus ENSAPOG00000009552
oryzias_melastigma ENSOMEG00000019741
danio_rerio ENSDARG00000069189
astyanax_mexicanus ENSAMXG00000031757
esox_lucius ENSELUG00000003108
esox_lucius ENSELUG00000012118
esox_lucius ENSELUG00000009827
esox_lucius ENSELUG00000004959
gadus_morhua ENSGMOG00000005490
gasterosteus_aculeatus ENSGACG00000006027
ictalurus_punctatus ENSIPUG00000024437
astyanax_mexicanus ENSAMXG00000032756
monopterus_albus ENSMALG00000012188
monopterus_albus ENSMALG00000005140
monopterus_albus ENSMALG00000008549
monopterus_albus ENSMALG00000011219
seriola_dumerili ENSSDUG00000006124
danio_rerio ENSDARG00000070898
danio_rerio ENSDARG00000097681
astyanax_mexicanus ENSAMXG00000029941
poecilia_mexicana ENSPMEG00000008920
poecilia_latipinna ENSPLAG00000022105
monopterus_albus ENSMALG00000020904
hippocampus_comes ENSHCOG00000001844
esox_lucius ENSELUG00000009665
paramormyrops_kingsleyae ENSPKIG00000024188
astyanax_mexicanus ENSAMXG00000039911
gadus_morhua ENSGMOG00000000428
paramormyrops_kingsleyae ENSPKIG00000004716
paramormyrops_kingsleyae ENSPKIG00000012833
