canis_lupus_dingo ENSCAFG00020014208
lonchura_striata_domestica ENSLSDG00000013824
latimeria_chalumnae ENSLACG00000016960
xiphophorus_couchianus ENSXCOG00000017476
xiphophorus_maculatus ENSXMAG00000019737
oryzias_melastigma ENSOMEG00000020825
seriola_lalandi_dorsalis ENSSLDG00000023573
cynoglossus_semilaevis ENSCSEG00000021483
monopterus_albus ENSMALG00000008446
periophthalmus_magnuspinnatus ENSPMGG00000014363
esox_lucius ENSELUG00000022146
astyanax_mexicanus ENSAMXG00000040890
ictalurus_punctatus ENSIPUG00000015702
calidris_pugnax ENSCPUG00000007148
calidris_pygmaea ENSCPGG00000009317
numida_meleagris ENSNMEG00000003639
taeniopygia_guttata ENSTGUG00000016020
melopsittacus_undulatus ENSMUNG00000007331
dromaius_novaehollandiae ENSDNVG00000014431
chelonoidis_abingdonii ENSCABG00000008812
pogona_vitticeps ENSPVIG00000021514
latimeria_chalumnae ENSLACG00000006837
mola_mola ENSMMOG00000016662
takifugu_rubripes ENSTRUG00000021163
neolamprologus_brichardi ENSNBRG00000011549
pundamilia_nyererei ENSPNYG00000015533
amphilophus_citrinellus ENSACIG00000018855
poecilia_mexicana ENSPMEG00000003167
gambusia_affinis ENSGAFG00000021437
poecilia_latipinna ENSPLAG00000016067
fundulus_heteroclitus ENSFHEG00000012108
cyprinodon_variegatus ENSCVAG00000018865
stegastes_partitus ENSSPAG00000021895
mastacembelus_armatus ENSMAMG00000015963
seriola_dumerili ENSSDUG00000017561
periophthalmus_magnuspinnatus ENSPMGG00000013136
pygocentrus_nattereri ENSPNAG00000003260
lepisosteus_oculatus ENSLOCG00000018126
mastacembelus_armatus ENSMAMG00000008007
monopterus_albus ENSMALG00000011513
anabas_testudineus ENSATEG00000025070
seriola_dumerili ENSSDUG00000016903
pundamilia_nyererei ENSPNYG00000006942
neolamprologus_brichardi ENSNBRG00000006936
amphilophus_citrinellus ENSACIG00000014256
amphiprion_percula ENSAPEG00000010940
poecilia_latipinna ENSPLAG00000008462
poecilia_formosa ENSPFOG00000001192
poecilia_mexicana ENSPMEG00000006230
xiphophorus_couchianus ENSXCOG00000016641
cyprinodon_variegatus ENSCVAG00000011655
hippocampus_comes ENSHCOG00000019174
takifugu_rubripes ENSTRUG00000018424
tetraodon_nigroviridis ENSTNIG00000018261
periophthalmus_magnuspinnatus ENSPMGG00000003112
esox_lucius ENSELUG00000015773
astyanax_mexicanus ENSAMXG00000014125
ictalurus_punctatus ENSIPUG00000009724
danio_rerio ENSDARG00000105115
paramormyrops_kingsleyae ENSPKIG00000024723
lepisosteus_oculatus ENSLOCG00000005292
apteryx_owenii ENSAOWG00000007671
apteryx_haastii ENSAHAG00000011031
nothoprocta_perdicaria ENSNPEG00000005947
dromaius_novaehollandiae ENSDNVG00000018566
lonchura_striata_domestica ENSLSDG00000013460
cyanistes_caeruleus ENSCCEG00000019104
manacus_vitellinus ENSMVIG00005013107
lepidothrix_coronata ENSLCOG00000005788
pogona_vitticeps ENSPVIG00000021478
scleropages_formosus ENSSFOG00015013155
eptatretus_burgeri ENSEBUG00000001476
ciona_savignyi ENSCSAVG00000003396
