chrysemys_picta_bellii ENSCPBG00000010078
gopherus_agassizii ENSGAGG00000004071
chelonoidis_abingdonii ENSCABG00000010455
pelodiscus_sinensis ENSPSIG00000011681
apteryx_rowi ENSARWG00000018149
apteryx_owenii ENSAOWG00000003423
apteryx_haastii ENSAHAG00000017339
dromaius_novaehollandiae ENSDNVG00000001291
calidris_pygmaea ENSCPGG00000017720
calidris_pugnax ENSCPUG00000002672
meleagris_gallopavo ENSMGAG00000016707
gallus_gallus ENSGALG00000039022
coturnix_japonica ENSCJPG00005020088
meleagris_gallopavo ENSMGAG00000004825
numida_meleagris ENSNMEG00000001603
anas_platyrhynchos_platyrhynchos ENSAPLG00000024864
lonchura_striata_domestica ENSLSDG00000001432
taeniopygia_guttata ENSTGUG00000016474
taeniopygia_guttata ENSTGUG00000016300
ficedula_albicollis ENSFALG00000010389
junco_hyemalis ENSJHYG00000015863
nothoprocta_perdicaria ENSNPEG00000012555
crocodylus_porosus ENSCPRG00005004495
anolis_carolinensis ENSACAG00000014673
anolis_carolinensis ENSACAG00000024648
pogona_vitticeps ENSPVIG00000024321
notechis_scutatus ENSNSUG00000001015
salvator_merianae ENSSMRG00000001644
sphenodon_punctatus ENSSPUG00000009935
carlito_syrichta ENSTSYG00000008530
ochotona_princeps ENSOPRG00000017280
dasypus_novemcinctus ENSDNOG00000037254
choloepus_hoffmanni ENSCHOG00000004508
loxodonta_africana ENSLAFG00000027709
procavia_capensis ENSPCAG00000009475
propithecus_coquereli ENSPCOG00000019010
microcebus_murinus ENSMICG00000043971
prolemur_simus ENSPSMG00000016736
otolemur_garnettii ENSOGAG00000017229
rhinopithecus_roxellana ENSRROG00000041120
rhinopithecus_bieti ENSRBIG00000000767
piliocolobus_tephrosceles ENSPTEG00000035165
colobus_angolensis_palliatus ENSCANG00000036714
theropithecus_gelada ENSTGEG00000010887
chlorocebus_sabaeus ENSCSAG00000005388
macaca_nemestrina ENSMNEG00000036202
macaca_mulatta ENSMMUG00000000111
macaca_fascicularis ENSMFAG00000033293
mandrillus_leucophaeus ENSMLEG00000043512
papio_anubis ENSPANG00000014884
cercocebus_atys ENSCATG00000044423
spermophilus_dauricus ENSSDAG00000019439
spermophilus_dauricus ENSSDAG00000019429
castor_canadensis ENSCCNG00000026447
pan_paniscus ENSPPAG00000000426
homo_sapiens ENSG00000123360
pan_troglodytes ENSPTRG00000005043
gorilla_gorilla ENSGGOG00000008372
pongo_abelii ENSPPYG00000004607
nomascus_leucogenys ENSNLEG00000017627
cebus_capucinus ENSCCAG00000034020
saimiri_boliviensis_boliviensis ENSSBOG00000023835
callithrix_jacchus ENSCJAG00000019038
aotus_nancymaae ENSANAG00000034831
mus_spicilegus ENSMSIG00000011263
mus_musculus ENSMUSG00000022489
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021275
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020382
mus_pahari MGP_PahariEiJ_G0020381
rattus_norvegicus ENSRNOG00000036828
meriones_unguiculatus ENSMUGG00000007468
peromyscus_maniculatus_bairdii ENSPEMG00000018802
microtus_ochrogaster ENSMOCG00000008136
cricetulus_griseus_crigri-picr ENSCGRG00015028700
cricetulus_griseus_crigri ENSCGRG00000012953
cricetulus_griseus_chok1gshd ENSCGRG00001017137
mesocricetus_auratus ENSMAUG00000019170
nannospalax_galili ENSNGAG00000020387
jaculus_jaculus ENSJJAG00000015140
ictidomys_tridecemlineatus ENSSTOG00000008136
urocitellus_parryii ENSUPAG00010020332
spermophilus_dauricus ENSSDAG00000019375
marmota_marmota_marmota ENSMMMG00000003896
dipodomys_ordii ENSDORG00000002126
castor_canadensis ENSCCNG00000025742
chinchilla_lanigera ENSCLAG00000012001
octodon_degus ENSODEG00000013509
cavia_porcellus ENSCPOG00000015102
cavia_aperea ENSCAPG00000006826
heterocephalus_glaber_male ENSHGLG00100010288
heterocephalus_glaber_female ENSHGLG00000003015
fukomys_damarensis ENSFDAG00000009787
tupaia_belangeri ENSTBEG00000009433
pteropus_vampyrus ENSPVAG00000000336
myotis_lucifugus ENSMLUG00000012983
erinaceus_europaeus ENSEEUG00000015934
ovis_aries ENSOARG00000016104
capra_hircus ENSCHIG00000027138
bos_mutus ENSBMUG00000020651
bos_taurus ENSBTAG00000004337
bison_bison_bison ENSBBBG00000018455
sus_scrofa ENSSSCG00000000297
tursiops_truncatus ENSTTRG00000004455
ursus_americanus ENSUAMG00000009709
ursus_maritimus ENSUMAG00000011288
ailuropoda_melanoleuca ENSAMEG00000001050
canis_lupus_familiaris ENSCAFG00000032142
canis_lupus_dingo ENSCAFG00020018452
vulpes_vulpes ENSVVUG00000023667
mustela_putorius_furo ENSMPUG00000005623
neovison_vison ENSNVIG00000002928
panthera_pardus ENSPPRG00000003378
panthera_tigris_altaica ENSPTIG00000000482
felis_catus ENSFCAG00000010158
equus_caballus ENSECAG00000022552
equus_asinus_asinus ENSEASG00005010274
phascolarctos_cinereus ENSPCIG00000006745
notamacropus_eugenii ENSMEUG00000004828
sarcophilus_harrisii ENSSHAG00000012340
ornithorhynchus_anatinus ENSOANG00000003121
xenopus_tropicalis ENSXETG00000004298
latimeria_chalumnae ENSLACG00000004135
paramormyrops_kingsleyae ENSPKIG00000001413
scleropages_formosus ENSSFOG00015013758
lepisosteus_oculatus ENSLOCG00000005028
