prolemur_simus ENSPSMG00000003636
piliocolobus_tephrosceles ENSPTEG00000024956
urocitellus_parryii ENSUPAG00010001502
spermophilus_dauricus ENSSDAG00000005883
marmota_marmota ENSMMMG00000018958
castor_canadensis ENSCCNG00000020022
cricetulus_griseus ENSCGRG00015020988
mustela_putorius ENSMPUG00000019109
neovison_vison ENSNVIG00000012986
vulpes_vulpes ENSVVUG00000009150
felis_catus ENSFCAG00000053328
bos_mutus ENSBMUG00000007578
bos_taurus ENSBTAG00000052955
bos_indicus ENSBIXG00000016871
bison_bison ENSBBBG00000021731
