gopherus_agassizii ENSGAGG00000000364
chelonoidis_abingdonii ENSCABG00000007101
chrysemys_picta ENSCPBG00000027169
pelodiscus_sinensis ENSPSIG00000014607
crocodylus_porosus ENSCPRG00005003209
lepidothrix_coronata ENSLCOG00000015647
manacus_vitellinus ENSMVIG00005005262
parus_major ENSPMJG00000012368
cyanistes_caeruleus ENSCCEG00000012415
ficedula_albicollis ENSFALG00000003517
serinus_canaria ENSSCAG00000015715
taeniopygia_guttata ENSTGUG00000001592
junco_hyemalis ENSJHYG00000016817
zonotrichia_albicollis ENSZALG00000010045
calidris_pugnax ENSCPUG00000017766
gallus_gallus ENSGALG00000039130
meleagris_gallopavo ENSMGAG00000000875
numida_meleagris ENSNMEG00000008129
anser_brachyrhynchus ENSABRG00000013450
melopsittacus_undulatus ENSMUNG00000006918
calidris_pygmaea ENSCPGG00000018282
lonchura_striata ENSLSDG00000007964
anas_platyrhynchos ENSAPLG00000002156
coturnix_japonica ENSCJPG00005004025
apteryx_owenii ENSAOWG00000006755
apteryx_rowi ENSARWG00000012068
apteryx_haastii ENSAHAG00000000656
dromaius_novaehollandiae ENSDNVG00000014855
nothoprocta_perdicaria ENSNPEG00000005246
pogona_vitticeps ENSPVIG00000009962
anolis_carolinensis ENSACAG00000016791
notechis_scutatus ENSNSUG00000001482
notechis_scutatus ENSNSUG00000014530
salvator_merianae ENSSMRG00000021005
manacus_vitellinus ENSMVIG00005018801
anas_platyrhynchos ENSAPLG00000015505
sphenodon_punctatus ENSSPUG00000010671
phascolarctos_cinereus ENSPCIG00000012671
notamacropus_eugenii ENSMEUG00000009378
sarcophilus_harrisii ENSSHAG00000015386
sarcophilus_harrisii ENSSHAG00000015477
monodelphis_domestica ENSMODG00000013447
pteropus_vampyrus ENSPVAG00000006962
ochotona_princeps ENSOPRG00000014555
oryctolagus_cuniculus ENSOCUG00000009887
dipodomys_ordii ENSDORG00000012258
mus_spretus MGP_SPRETEiJ_G0022261
mus_musculus ENSMUSG00000042203
mus_spicilegus ENSMSIG00000010640
mus_caroli MGP_CAROLIEiJ_G0021347
mus_pahari MGP_PahariEiJ_G0023666
rattus_norvegicus ENSRNOG00000059458
meriones_unguiculatus ENSMUGG00000023811
cricetulus_griseus ENSCGRG00001020095
cricetulus_griseus ENSCGRG00000014608
cricetulus_griseus ENSCGRG00015023989
mesocricetus_auratus ENSMAUG00000014631
peromyscus_maniculatus ENSPEMG00000012552
microtus_ochrogaster ENSMOCG00000012728
nannospalax_galili ENSNGAG00000014264
castor_canadensis ENSCCNG00000016490
prolemur_simus ENSPSMG00000011758
microcebus_murinus ENSMICG00000003354
propithecus_coquereli ENSPCOG00000023907
otolemur_garnettii ENSOGAG00000001261
papio_anubis ENSPANG00000009717
mandrillus_leucophaeus ENSMLEG00000026760
macaca_fascicularis ENSMFAG00000000523
macaca_nemestrina ENSMNEG00000021385
macaca_mulatta ENSMMUG00000022008
theropithecus_gelada ENSTGEG00000029556
cercocebus_atys ENSCATG00000024160
chlorocebus_sabaeus ENSCSAG00000010457
colobus_angolensis ENSCANG00000032304
piliocolobus_tephrosceles ENSPTEG00000033135
rhinopithecus_roxellana ENSRROG00000027880
rhinopithecus_bieti ENSRBIG00000030736
nomascus_leucogenys ENSNLEG00000011169
homo_sapiens ENSG00000065491
cebus_capucinus ENSCCAG00000034502
aotus_nancymaae ENSANAG00000036225
tupaia_belangeri ENSTBEG00000002616
sorex_araneus ENSSARG00000012620
loxodonta_africana ENSLAFG00000012927
procavia_capensis ENSPCAG00000015866
pan_paniscus ENSPPAG00000031765
pan_troglodytes ENSPTRG00000018120
gorilla_gorilla ENSGGOG00000001321
saimiri_boliviensis ENSSBOG00000021572
carlito_syrichta ENSTSYG00000012152
cavia_porcellus ENSCPOG00000002663
cavia_aperea ENSCAPG00000000372
