xenopus_tropicalis ENSXETG00000033012
erinaceus_europaeus ENSEEUG00000009056
pogona_vitticeps ENSPVIG00000003424
salvator_merianae ENSSMRG00000017461
sphenodon_punctatus ENSSPUG00000014666
chrysemys_picta_bellii ENSCPBG00000000256
chelonoidis_abingdonii ENSCABG00000017015
pelodiscus_sinensis ENSPSIG00000016090
calidris_pygmaea ENSCPGG00000013446
calidris_pugnax ENSCPUG00000011734
melopsittacus_undulatus ENSMUNG00000011908
lonchura_striata_domestica ENSLSDG00000012976
taeniopygia_guttata ENSTGUG00000009059
junco_hyemalis ENSJHYG00000010101
zonotrichia_albicollis ENSZALG00000003334
ficedula_albicollis ENSFALG00000005621
cyanistes_caeruleus ENSCCEG00000009010
parus_major ENSPMJG00000001131
lepidothrix_coronata ENSLCOG00000002712
manacus_vitellinus ENSMVIG00005009765
gallus_gallus ENSGALG00000049577
coturnix_japonica ENSCJPG00005012158
numida_meleagris ENSNMEG00000022471
dromaius_novaehollandiae ENSDNVG00000012226
nothoprocta_perdicaria ENSNPEG00000015420
apteryx_haastii ENSAHAG00000007104
anas_platyrhynchos_platyrhynchos ENSAPLG00000023874
anser_brachyrhynchus ENSABRG00000004569
crocodylus_porosus ENSCPRG00005002709
anolis_carolinensis ENSACAG00000008331
notechis_scutatus ENSNSUG00000018318
castor_canadensis ENSCCNG00000019333
dipodomys_ordii ENSDORG00000005418
microtus_ochrogaster ENSMOCG00000009421
peromyscus_maniculatus_bairdii ENSPEMG00000011001
cricetulus_griseus_crigri ENSCGRG00000014183
cricetulus_griseus_chok1gshd ENSCGRG00001022860
cricetulus_griseus_crigri-picr ENSCGRG00015006971
mesocricetus_auratus ENSMAUG00000020030
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027235
mus_spicilegus ENSMSIG00000009080
mus_musculus ENSMUSG00000059816
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026266
mus_pahari MGP_PahariEiJ_G0028599
rattus_norvegicus ENSRNOG00000030641
meriones_unguiculatus ENSMUGG00000014801
nannospalax_galili ENSNGAG00000007159
urocitellus_parryii ENSUPAG00010021700
spermophilus_dauricus ENSSDAG00000016334
ictidomys_tridecemlineatus ENSSTOG00000026416
marmota_marmota_marmota ENSMMMG00000016185
chinchilla_lanigera ENSCLAG00000004758
octodon_degus ENSODEG00000006570
heterocephalus_glaber_female ENSHGLG00000003351
heterocephalus_glaber_male ENSHGLG00100014383
fukomys_damarensis ENSFDAG00000018380
oryctolagus_cuniculus ENSOCUG00000029254
ochotona_princeps ENSOPRG00000009113
saimiri_boliviensis_boliviensis ENSSBOG00000032493
cebus_capucinus ENSCCAG00000034291
callithrix_jacchus ENSCJAG00000021585
aotus_nancymaae ENSANAG00000023512
rhinopithecus_bieti ENSRBIG00000007799
rhinopithecus_roxellana ENSRROG00000044612
colobus_angolensis_palliatus ENSCANG00000028590
papio_anubis ENSPANG00000013792
chlorocebus_sabaeus ENSCSAG00000001279
cercocebus_atys ENSCATG00000010987
theropithecus_gelada ENSTGEG00000005533
mandrillus_leucophaeus ENSMLEG00000019070
macaca_fascicularis ENSMFAG00000044482
macaca_nemestrina ENSMNEG00000035297
gorilla_gorilla ENSGGOG00000044016
homo_sapiens ENSG00000182183
pan_troglodytes ENSPTRG00000000744
pan_paniscus ENSPPAG00000040768
pongo_abelii ENSPPYG00000001345
nomascus_leucogenys ENSNLEG00000017996
carlito_syrichta ENSTSYG00000012936
propithecus_coquereli ENSPCOG00000018477
microcebus_murinus ENSMICG00000047301
prolemur_simus ENSPSMG00000017463
otolemur_garnettii ENSOGAG00000026470
myotis_lucifugus ENSMLUG00000004175
