cebus_capucinus ENSCCAG00000038005
callithrix_jacchus ENSCJAG00000046317
homo_sapiens ENSG00000204920
pan_troglodytes ENSPTRG00000028986
gorilla_gorilla ENSGGOG00000004889
nomascus_leucogenys ENSNLEG00000001821
macaca_nemestrina ENSMNEG00000045437
macaca_fascicularis ENSMFAG00000038456
mandrillus_leucophaeus ENSMLEG00000041516
papio_anubis ENSPANG00000035562
chlorocebus_sabaeus ENSCSAG00000003345
colobus_angolensis ENSCANG00000036509
rhinopithecus_bieti ENSRBIG00000013153
homo_sapiens ENSG00000159882
gorilla_gorilla ENSGGOG00000040539
pan_troglodytes ENSPTRG00000011100
pan_paniscus ENSPPAG00000013305
pongo_abelii ENSPPYG00000029494
nomascus_leucogenys ENSNLEG00000035000
macaca_fascicularis ENSMFAG00000038092
macaca_mulatta ENSMMUG00000028751
macaca_nemestrina ENSMNEG00000039969
papio_anubis ENSPANG00000035088
mandrillus_leucophaeus ENSMLEG00000029649
rhinopithecus_bieti ENSRBIG00000031768
rhinopithecus_roxellana ENSRROG00000044973
piliocolobus_tephrosceles ENSPTEG00000032406
colobus_angolensis ENSCANG00000038875
marmota_marmota ENSMMMG00000016066
urocitellus_parryii ENSUPAG00010021863
pan_paniscus ENSPPAG00000043627
callithrix_jacchus ENSCJAG00000054269
carlito_syrichta ENSTSYG00000000483
castor_canadensis ENSCCNG00000000326
canis_lupus ENSCAFG00000029288
ailuropoda_melanoleuca ENSAMEG00000006126
sus_scrofa ENSSSCG00000003076
equus_asinus ENSEASG00005022129
