ictidomys_tridecemlineatus ENSSTOG00000003960
marmota_marmota_marmota ENSMMMG00000018906
urocitellus_parryii ENSUPAG00010004212
spermophilus_dauricus ENSSDAG00000023348
castor_canadensis ENSCCNG00000003681
peromyscus_maniculatus_bairdii ENSPEMG00000016639
microtus_ochrogaster ENSMOCG00000003454
cricetulus_griseus_crigri-picr ENSCGRG00015013363
cricetulus_griseus_crigri ENSCGRG00000006790
cricetulus_griseus_chok1gshd ENSCGRG00001011082
mesocricetus_auratus ENSMAUG00000008466
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027870
mus_musculus ENSMUSG00000029059
mus_spicilegus ENSMSIG00000016156
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026877
mus_pahari MGP_PahariEiJ_G0029225
rattus_norvegicus ENSRNOG00000013468
meriones_unguiculatus ENSMUGG00000002028
nannospalax_galili ENSNGAG00000022242
jaculus_jaculus ENSJJAG00000018745
chinchilla_lanigera ENSCLAG00000004683
octodon_degus ENSODEG00000010975
cavia_porcellus ENSCPOG00000026782
heterocephalus_glaber_female ENSHGLG00000018766
heterocephalus_glaber_male ENSHGLG00100013406
mandrillus_leucophaeus ENSMLEG00000043833
theropithecus_gelada ENSTGEG00000012786
cercocebus_atys ENSCATG00000038131
chlorocebus_sabaeus ENSCSAG00000000717
macaca_fascicularis ENSMFAG00000046385
macaca_nemestrina ENSMNEG00000037754
macaca_mulatta ENSMMUG00000012380
papio_anubis ENSPANG00000019038
colobus_angolensis_palliatus ENSCANG00000031486
piliocolobus_tephrosceles ENSPTEG00000019716
rhinopithecus_roxellana ENSRROG00000028478
rhinopithecus_bieti ENSRBIG00000034383
homo_sapiens ENSG00000157870
gorilla_gorilla ENSGGOG00000010282
pongo_abelii ENSPPYG00000001974
saimiri_boliviensis_boliviensis ENSSBOG00000031802
cebus_capucinus ENSCCAG00000022548
aotus_nancymaae ENSANAG00000034373
otolemur_garnettii ENSOGAG00000031630
ovis_aries ENSOARG00000017982
capra_hircus ENSCHIG00000013121
bos_taurus ENSBTAG00000001727
bos_mutus ENSBMUG00000023178
bison_bison_bison ENSBBBG00000017922
sus_scrofa ENSSSCG00000026554
equus_asinus_asinus ENSEASG00005021879
equus_caballus ENSECAG00000008177
ursus_maritimus ENSUMAG00000010456
ursus_americanus ENSUAMG00000026143
ailuropoda_melanoleuca ENSAMEG00000013305
neovison_vison ENSNVIG00000024247
mustela_putorius_furo ENSMPUG00000007537
canis_lupus_dingo ENSCAFG00020010428
canis_lupus_familiaris ENSCAFG00000019423
panthera_tigris_altaica ENSPTIG00000007804
panthera_pardus ENSPPRG00000010748
felis_catus ENSFCAG00000029078
erinaceus_europaeus ENSEEUG00000009981
vulpes_vulpes ENSVVUG00000027156
callithrix_jacchus ENSCJAG00000002562
choloepus_hoffmanni ENSCHOG00000008052
procavia_capensis ENSPCAG00000009087
pan_troglodytes ENSPTRG00000000054
pan_paniscus ENSPPAG00000026553
nomascus_leucogenys ENSNLEG00000035876
rhinopithecus_bieti ENSRBIG00000041031
ochotona_princeps ENSOPRG00000006629
tupaia_belangeri ENSTBEG00000017079
pteropus_vampyrus ENSPVAG00000006818
loxodonta_africana ENSLAFG00000022536
phascolarctos_cinereus ENSPCIG00000016727
notamacropus_eugenii ENSMEUG00000010642
sarcophilus_harrisii ENSSHAG00000000463
monodelphis_domestica ENSMODG00000008238
crocodylus_porosus ENSCPRG00005012623
