sarcophilus_harrisii ENSSHAG00000014247
phascolarctos_cinereus ENSPCIG00000033564
monodelphis_domestica ENSMODG00000001809
ochotona_princeps ENSOPRG00000001495
marmota_marmota_marmota ENSMMMG00000003506
echinops_telfairi ENSETEG00000005952
choloepus_hoffmanni ENSCHOG00000003388
canis_lupus_dingo ENSCAFG00020020428
canis_lupus_familiaris ENSCAFG00000016887
vulpes_vulpes ENSVVUG00000028878
neovison_vison ENSNVIG00000024908
mustela_putorius_furo ENSMPUG00000011359
ursus_maritimus ENSUMAG00000014507
ursus_americanus ENSUAMG00000007627
ailuropoda_melanoleuca ENSAMEG00000016284
panthera_tigris_altaica ENSPTIG00000005640
panthera_pardus ENSPPRG00000020299
felis_catus ENSFCAG00000026425
pteropus_vampyrus ENSPVAG00000010824
equus_asinus_asinus ENSEASG00005008950
equus_caballus ENSECAG00000011578
microtus_ochrogaster ENSMOCG00000021087
peromyscus_maniculatus_bairdii ENSPEMG00000023966
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031654
mus_spicilegus ENSMSIG00000024366
mus_musculus ENSMUSG00000030785
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030540
mus_pahari MGP_PahariEiJ_G0013747
rattus_norvegicus ENSRNOG00000019851
cricetulus_griseus_crigri ENSCGRG00000000238
cricetulus_griseus_crigri-picr ENSCGRG00015023403
cricetulus_griseus_chok1gshd ENSCGRG00001006668
mesocricetus_auratus ENSMAUG00000008662
meriones_unguiculatus ENSMUGG00000008200
nannospalax_galili ENSNGAG00000019657
jaculus_jaculus ENSJJAG00000023663
urocitellus_parryii ENSUPAG00010019413
ictidomys_tridecemlineatus ENSSTOG00000003277
spermophilus_dauricus ENSSDAG00000013238
castor_canadensis ENSCCNG00000017859
dipodomys_ordii ENSDORG00000027692
oryctolagus_cuniculus ENSOCUG00000007471
oryctolagus_cuniculus ENSOCUG00000007450
ochotona_princeps ENSOPRG00000003922
ochotona_princeps ENSOPRG00000003912
tupaia_belangeri ENSTBEG00000013832
microcebus_murinus ENSMICG00000042449
propithecus_coquereli ENSPCOG00000014165
pan_paniscus ENSPPAG00000030275
pan_troglodytes ENSPTRG00000008046
gorilla_gorilla ENSGGOG00000006124
homo_sapiens ENSG00000156885
pongo_abelii ENSPPYG00000007721
nomascus_leucogenys ENSNLEG00000016334
rhinopithecus_bieti ENSRBIG00000035132
rhinopithecus_roxellana ENSRROG00000030572
piliocolobus_tephrosceles ENSPTEG00000028296
theropithecus_gelada ENSTGEG00000009698
papio_anubis ENSPANG00000016029
cercocebus_atys ENSCATG00000036520
mandrillus_leucophaeus ENSMLEG00000040478
macaca_nemestrina ENSMNEG00000043274
macaca_fascicularis ENSMFAG00000042019
chlorocebus_sabaeus ENSCSAG00000005620
saimiri_boliviensis_boliviensis ENSSBOG00000028537
cebus_capucinus ENSCCAG00000021967
callithrix_jacchus ENSCJAG00000000876
aotus_nancymaae ENSANAG00000021157
otolemur_garnettii ENSOGAG00000034784
chinchilla_lanigera ENSCLAG00000010206
cavia_porcellus ENSCPOG00000004927
octodon_degus ENSODEG00000016022
heterocephalus_glaber_female ENSHGLG00000011543
capra_hircus ENSCHIG00000019065
ovis_aries ENSOARG00000009432
bos_mutus ENSBMUG00000025325
bos_taurus ENSBTAG00000019521
bison_bison_bison ENSBBBG00000001268
sus_scrofa ENSSSCG00000036789
vicugna_pacos ENSVPAG00000010576
sorex_araneus ENSSARG00000011188
loxodonta_africana ENSLAFG00000011927
procavia_capensis ENSPCAG00000004670
dasypus_novemcinctus ENSDNOG00000037743
pogona_vitticeps ENSPVIG00000004990
