cricetulus_griseus_crigri ENSCGRG00000017504
cricetulus_griseus_chok1gshd ENSCGRG00001021950
cricetulus_griseus_crigri-picr ENSCGRG00015018024
mesocricetus_auratus ENSMAUG00000005896
microtus_ochrogaster ENSMOCG00000015536
peromyscus_maniculatus_bairdii ENSPEMG00000006916
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033892
mus_musculus ENSMUSG00000049719
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032744
mus_spicilegus ENSMSIG00000025411
mus_pahari MGP_PahariEiJ_G0015611
rattus_norvegicus ENSRNOG00000020981
meriones_unguiculatus ENSMUGG00000010394
nannospalax_galili ENSNGAG00000021280
jaculus_jaculus ENSJJAG00000021613
castor_canadensis ENSCCNG00000015744
dipodomys_ordii ENSDORG00000028362
heterocephalus_glaber_female ENSHGLG00000016820
heterocephalus_glaber_male ENSHGLG00100018874
fukomys_damarensis ENSFDAG00000020951
cavia_aperea ENSCAPG00000008808
cavia_porcellus ENSCPOG00000020261
spermophilus_dauricus ENSSDAG00000003867
marmota_marmota_marmota ENSMMMG00000006932
urocitellus_parryii ENSUPAG00010016067
ictidomys_tridecemlineatus ENSSTOG00000022128
oryctolagus_cuniculus ENSOCUG00000012855
pan_paniscus ENSPPAG00000038023
pan_troglodytes ENSPTRG00000051285
gorilla_gorilla ENSGGOG00000040339
nomascus_leucogenys ENSNLEG00000027227
rhinopithecus_bieti ENSRBIG00000041596
rhinopithecus_roxellana ENSRROG00000033992
colobus_angolensis_palliatus ENSCANG00000043818
piliocolobus_tephrosceles ENSPTEG00000008255
macaca_nemestrina ENSMNEG00000027522
macaca_fascicularis ENSMFAG00000001287
macaca_mulatta ENSMMUG00000021251
chlorocebus_sabaeus ENSCSAG00000016188
mandrillus_leucophaeus ENSMLEG00000027865
cercocebus_atys ENSCATG00000029296
papio_anubis ENSPANG00000007057
theropithecus_gelada ENSTGEG00000011347
saimiri_boliviensis_boliviensis ENSSBOG00000028894
cebus_capucinus ENSCCAG00000036367
callithrix_jacchus ENSCJAG00000043232
carlito_syrichta ENSTSYG00000032421
propithecus_coquereli ENSPCOG00000027904
microcebus_murinus ENSMICG00000044328
prolemur_simus ENSPSMG00000004649
otolemur_garnettii ENSOGAG00000030813
ailuropoda_melanoleuca ENSAMEG00000012561
ursus_maritimus ENSUMAG00000004420
neovison_vison ENSNVIG00000021859
mustela_putorius_furo ENSMPUG00000015157
canis_lupus_dingo ENSCAFG00020013919
canis_lupus_familiaris ENSCAFG00000032598
panthera_pardus ENSPPRG00000020386
panthera_tigris_altaica ENSPTIG00000014789
felis_catus ENSFCAG00000028955
equus_asinus_asinus ENSEASG00005008123
equus_caballus ENSECAG00000002509
bos_mutus ENSBMUG00000002810
bos_taurus ENSBTAG00000038616
bison_bison_bison ENSBBBG00000003631
ovis_aries ENSOARG00000007290
sus_scrofa ENSSSCG00000024268
loxodonta_africana ENSLAFG00000031922
