xiphophorus_couchianus ENSXCOG00000001560
xiphophorus_maculatus ENSXMAG00000005181
gambusia_affinis ENSGAFG00000012967
poecilia_formosa ENSPFOG00000002177
poecilia_mexicana ENSPMEG00000022058
poecilia_latipinna ENSPLAG00000003222
poecilia_reticulata ENSPREG00000002038
fundulus_heteroclitus ENSFHEG00000007709
cyprinodon_variegatus ENSCVAG00000022482
kryptolebias_marmoratus ENSKMAG00000011429
oryzias_latipes ENSORLG00020007193
oryzias_latipes ENSORLG00000005100
oryzias_latipes_asm223469v1 ENSORLG00015013958
oryzias_melastigma ENSOMEG00000009734
maylandia_zebra ENSMZEG00005002137
astatotilapia_calliptera ENSACLG00000027918
haplochromis_burtoni ENSHBUG00000000181
pundamilia_nyererei ENSPNYG00000004774
neolamprologus_brichardi ENSNBRG00000006719
oreochromis_niloticus ENSONIG00000007494
amphilophus_citrinellus ENSACIG00000014381
cynoglossus_semilaevis ENSCSEG00000001308
mola_mola ENSMMOG00000004487
takifugu_rubripes ENSTRUG00000024706
gasterosteus_aculeatus ENSGACG00000016094
labrus_bergylta ENSLBEG00000027867
seriola_lalandi_dorsalis ENSSLDG00000004736
seriola_lalandi_dorsalis ENSSLDG00000000222
seriola_dumerili ENSSDUG00000023818
monopterus_albus ENSMALG00000004557
amphiprion_percula ENSAPEG00000020955
amphiprion_ocellaris ENSAOCG00000019840
acanthochromis_polyacanthus ENSAPOG00000023946
stegastes_partitus ENSSPAG00000015112
mastacembelus_armatus ENSMAMG00000017513
anabas_testudineus ENSATEG00000013860
scophthalmus_maximus ENSSMAG00000008737
periophthalmus_magnuspinnatus ENSPMGG00000004583
tetraodon_nigroviridis ENSTNIG00000001070
hippocampus_comes ENSHCOG00000003158
gadus_morhua ENSGMOG00000016986
esox_lucius ENSELUG00000001729
pygocentrus_nattereri ENSPNAG00000018760
astyanax_mexicanus ENSAMXG00000035184
ictalurus_punctatus ENSIPUG00000004638
danio_rerio ENSDARG00000009480
scleropages_formosus ENSSFOG00015001272
paramormyrops_kingsleyae ENSPKIG00000005321
lepisosteus_oculatus ENSLOCG00000003058
anser_brachyrhynchus ENSABRG00000022332
anas_platyrhynchos_platyrhynchos ENSAPLG00000014180
gallus_gallus ENSGALG00000001275
meleagris_gallopavo ENSMGAG00000007971
coturnix_japonica ENSCJPG00005010858
numida_meleagris ENSNMEG00000012725
calidris_pugnax ENSCPUG00000016087
melopsittacus_undulatus ENSMUNG00000009716
lonchura_striata_domestica ENSLSDG00000004171
taeniopygia_guttata ENSTGUG00000006880
