mus_musculus ENSMUSG00000028451
mus_spicilegus ENSMSIG00000031542
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026885
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025924
mus_pahari MGP_PahariEiJ_G0024069
rattus_norvegicus ENSRNOG00000022601
meriones_unguiculatus ENSMUGG00000019832
cricetulus_griseus_chok1gshd ENSCGRG00001017633
cricetulus_griseus_crigri-picr ENSCGRG00015003302
cricetulus_griseus_crigri ENSCGRG00000006060
mesocricetus_auratus ENSMAUG00000022091
microtus_ochrogaster ENSMOCG00000006785
nannospalax_galili ENSNGAG00000005829
jaculus_jaculus ENSJJAG00000017366
castor_canadensis ENSCCNG00000024881
urocitellus_parryii ENSUPAG00010018460
ictidomys_tridecemlineatus ENSSTOG00000020209
spermophilus_dauricus ENSSDAG00000024431
marmota_marmota_marmota ENSMMMG00000007714
heterocephalus_glaber_female ENSHGLG00000002504
heterocephalus_glaber_male ENSHGLG00100000364
fukomys_damarensis ENSFDAG00000012020
dipodomys_ordii ENSDORG00000028913
oryctolagus_cuniculus ENSOCUG00000015327
cavia_aperea ENSCAPG00000000229
ochotona_princeps ENSOPRG00000010695
propithecus_coquereli ENSPCOG00000027457
microcebus_murinus ENSMICG00000005469
prolemur_simus ENSPSMG00000005458
carlito_syrichta ENSTSYG00000009633
homo_sapiens ENSG00000174038
gorilla_gorilla ENSGGOG00000011590
pan_paniscus ENSPPAG00000036738
pan_troglodytes ENSPTRG00000020898
pongo_abelii ENSPPYG00000019106
nomascus_leucogenys ENSNLEG00000004743
piliocolobus_tephrosceles ENSPTEG00000018292
colobus_angolensis_palliatus ENSCANG00000035183
rhinopithecus_bieti ENSRBIG00000044538
rhinopithecus_roxellana ENSRROG00000037692
mandrillus_leucophaeus ENSMLEG00000041949
cercocebus_atys ENSCATG00000033290
papio_anubis ENSPANG00000025330
theropithecus_gelada ENSTGEG00000008804
macaca_fascicularis ENSMFAG00000044201
macaca_mulatta ENSMMUG00000020188
macaca_nemestrina ENSMNEG00000030444
chlorocebus_sabaeus ENSCSAG00000010235
saimiri_boliviensis_boliviensis ENSSBOG00000031687
cebus_capucinus ENSCCAG00000024052
aotus_nancymaae ENSANAG00000035022
microcebus_murinus ENSMICG00000027287
bos_mutus ENSBMUG00000023298
bos_taurus ENSBTAG00000051343
bison_bison_bison ENSBBBG00000001303
ovis_aries ENSOARG00000012217
tursiops_truncatus ENSTTRG00000006210
vicugna_pacos ENSVPAG00000001050
sus_scrofa ENSSSCG00000005298
equus_caballus ENSECAG00000010354
equus_asinus_asinus ENSEASG00005013794
ailuropoda_melanoleuca ENSAMEG00000015452
mustela_putorius_furo ENSMPUG00000004584
ursus_maritimus ENSUMAG00000006388
ursus_americanus ENSUAMG00000024282
neovison_vison ENSNVIG00000024013
canis_lupus_dingo ENSCAFG00020016210
canis_lupus_familiaris ENSCAFG00000001967
vulpes_vulpes ENSVVUG00000026802
panthera_tigris_altaica ENSPTIG00000015085
panthera_pardus ENSPPRG00000001584
felis_catus ENSFCAG00000044063
pteropus_vampyrus ENSPVAG00000009134
myotis_lucifugus ENSMLUG00000006131
erinaceus_europaeus ENSEEUG00000005800
sorex_araneus ENSSARG00000012321
dasypus_novemcinctus ENSDNOG00000046980
choloepus_hoffmanni ENSCHOG00000001590
loxodonta_africana ENSLAFG00000007290
procavia_capensis ENSPCAG00000000749
echinops_telfairi ENSETEG00000012564
