pundamilia_nyererei ENSPNYG00000009140
maylandia_zebra ENSMZEG00005008474
astatotilapia_calliptera ENSACLG00000002363
haplochromis_burtoni ENSHBUG00000001059
neolamprologus_brichardi ENSNBRG00000012102
oreochromis_niloticus ENSONIG00000002478
tetraodon_nigroviridis ENSTNIG00000015749
mola_mola ENSMMOG00000004130
scophthalmus_maximus ENSSMAG00000012322
poecilia_formosa ENSPFOG00000000722
poecilia_mexicana ENSPMEG00000017007
poecilia_reticulata ENSPREG00000012714
xiphophorus_couchianus ENSXCOG00000016802
xiphophorus_maculatus ENSXMAG00000022168
poecilia_latipinna ENSPLAG00000004009
gambusia_affinis ENSGAFG00000001603
cyprinodon_variegatus ENSCVAG00000004594
fundulus_heteroclitus ENSFHEG00000014031
kryptolebias_marmoratus ENSKMAG00000019794
oryzias_latipes_asm223469v1 ENSORLG00015013554
oryzias_latipes ENSORLG00000025486
oryzias_latipes ENSORLG00020004535
oryzias_melastigma ENSOMEG00000013950
cynoglossus_semilaevis ENSCSEG00000002870
gasterosteus_aculeatus ENSGACG00000017485
periophthalmus_magnuspinnatus ENSPMGG00000020814
amphiprion_percula ENSAPEG00000004805
amphiprion_ocellaris ENSAOCG00000002737
acanthochromis_polyacanthus ENSAPOG00000014941
anabas_testudineus ENSATEG00000000680
stegastes_partitus ENSSPAG00000001377
stegastes_partitus ENSSPAG00000003095
labrus_bergylta ENSLBEG00000003685
monopterus_albus ENSMALG00000007545
acanthochromis_polyacanthus ENSAPOG00000013614
amphilophus_citrinellus ENSACIG00000014040
seriola_lalandi_dorsalis ENSSLDG00000003976
seriola_dumerili ENSSDUG00000004882
mastacembelus_armatus ENSMAMG00000019619
hippocampus_comes ENSHCOG00000007775
gadus_morhua ENSGMOG00000011483
esox_lucius ENSELUG00000016195
pygocentrus_nattereri ENSPNAG00000017768
astyanax_mexicanus ENSAMXG00000043999
ictalurus_punctatus ENSIPUG00000017056
danio_rerio ENSDARG00000023672
scleropages_formosus ENSSFOG00015009806
paramormyrops_kingsleyae ENSPKIG00000013715
lepisosteus_oculatus ENSLOCG00000015321
ictidomys_tridecemlineatus ENSSTOG00000004718
urocitellus_parryii ENSUPAG00010010192
marmota_marmota_marmota ENSMMMG00000010615
cavia_porcellus ENSCPOG00000000548
oryctolagus_cuniculus ENSOCUG00000027477
propithecus_coquereli ENSPCOG00000023310
prolemur_simus ENSPSMG00000019024
aotus_nancymaae ENSANAG00000021979
nomascus_leucogenys ENSNLEG00000007534
pan_troglodytes ENSPTRG00000022103
theropithecus_gelada ENSTGEG00000011732
mandrillus_leucophaeus ENSMLEG00000034977
otolemur_garnettii ENSOGAG00000004543
cebus_capucinus ENSCCAG00000037399
saimiri_boliviensis_boliviensis ENSSBOG00000029851
pan_troglodytes ENSPTRG00000044875
pan_paniscus ENSPPAG00000025293
cercocebus_atys ENSCATG00000020206
prolemur_simus ENSPSMG00000020799
gorilla_gorilla ENSGGOG00000024934
homo_sapiens ENSG00000126953
pongo_abelii ENSPPYG00000020551
macaca_fascicularis ENSMFAG00000030054
macaca_nemestrina ENSMNEG00000025427
macaca_mulatta ENSMMUG00000040214
cercocebus_atys ENSCATG00000023045
theropithecus_gelada ENSTGEG00000017612
mandrillus_leucophaeus ENSMLEG00000016260
macaca_fascicularis ENSMFAG00000000557
chlorocebus_sabaeus ENSCSAG00000009880
callithrix_jacchus ENSCJAG00000040505
piliocolobus_tephrosceles ENSPTEG00000016445
colobus_angolensis_palliatus ENSCANG00000037426
rhinopithecus_roxellana ENSRROG00000041598
macaca_nemestrina ENSMNEG00000036806
papio_anubis ENSPANG00000004633
aotus_nancymaae ENSANAG00000032931
microcebus_murinus ENSMICG00000038724
castor_canadensis ENSCCNG00000020150
dipodomys_ordii ENSDORG00000025830
jaculus_jaculus ENSJJAG00000011455
cavia_aperea ENSCAPG00000012292
octodon_degus ENSODEG00000018927
cricetulus_griseus_chok1gshd ENSCGRG00001006413
cricetulus_griseus_crigri-picr ENSCGRG00015001598
mesocricetus_auratus ENSMAUG00000017798
peromyscus_maniculatus_bairdii ENSPEMG00000028237
microtus_ochrogaster ENSMOCG00000000388
mus_musculus ENSMUSG00000048007
mus_spicilegus ENSMSIG00000000106
mus_pahari MGP_PahariEiJ_G0031932
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033392
rattus_norvegicus ENSRNOG00000011226
meriones_unguiculatus ENSMUGG00000005774
peromyscus_maniculatus_bairdii ENSPEMG00000005750
microtus_ochrogaster ENSMOCG00000009723
cricetulus_griseus_crigri-picr ENSCGRG00015028542
cricetulus_griseus_crigri-picr ENSCGRG00015000840
mesocricetus_auratus ENSMAUG00000000554
mus_spicilegus ENSMSIG00000026878
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020508
mus_musculus ENSMUSG00000071229
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019611
mus_pahari MGP_PahariEiJ_G0030628
rattus_norvegicus ENSRNOG00000013835
spermophilus_dauricus ENSSDAG00000004438
marmota_marmota_marmota ENSMMMG00000012921
ictidomys_tridecemlineatus ENSSTOG00000024871
ictidomys_tridecemlineatus ENSSTOG00000030745
spermophilus_dauricus ENSSDAG00000013444
marmota_marmota_marmota ENSMMMG00000022816
cricetulus_griseus_crigri ENSCGRG00000003815
rattus_norvegicus ENSRNOG00000043480
jaculus_jaculus ENSJJAG00000024355
spermophilus_dauricus ENSSDAG00000008738
pan_troglodytes ENSPTRG00000052404
pan_paniscus ENSPPAG00000029715
gorilla_gorilla ENSGGOG00000042515
callithrix_jacchus ENSCJAG00000004723
tupaia_belangeri ENSTBEG00000015708
vicugna_pacos ENSVPAG00000006482
bos_mutus ENSBMUG00000011380
felis_catus ENSFCAG00000042163
felis_catus ENSFCAG00000045525
panthera_tigris_altaica ENSPTIG00000017193
panthera_pardus ENSPPRG00000018637
jaculus_jaculus ENSJJAG00000009661
cebus_capucinus ENSCCAG00000034653
callithrix_jacchus ENSCJAG00000046375
saimiri_boliviensis_boliviensis ENSSBOG00000020132
carlito_syrichta ENSTSYG00000033529
heterocephalus_glaber_male ENSHGLG00100021162
heterocephalus_glaber_female ENSHGLG00000020995
jaculus_jaculus ENSJJAG00000011798
dasypus_novemcinctus ENSDNOG00000036697
dipodomys_ordii ENSDORG00000029666
dipodomys_ordii ENSDORG00000009982
nannospalax_galili ENSNGAG00000019305
castor_canadensis ENSCCNG00000018612
ochotona_princeps ENSOPRG00000007926
oryctolagus_cuniculus ENSOCUG00000011199
procavia_capensis ENSPCAG00000003175
jaculus_jaculus ENSJJAG00000010691
jaculus_jaculus ENSJJAG00000017975
mesocricetus_auratus ENSMAUG00000010882
spermophilus_dauricus ENSSDAG00000005091
myotis_lucifugus ENSMLUG00000004335
tursiops_truncatus ENSTTRG00000012775
pteropus_vampyrus ENSPVAG00000001566
ovis_aries ENSOARG00000001027
equus_asinus_asinus ENSEASG00005019605
canis_lupus_dingo ENSCAFG00020004983
mustela_putorius_furo ENSMPUG00000002179
equus_caballus ENSECAG00000031931
ailuropoda_melanoleuca ENSAMEG00000009288
capra_hircus ENSCHIG00000012410
sus_scrofa ENSSSCG00000012494
capra_hircus ENSCHIG00000018104
erinaceus_europaeus ENSEEUG00000013833
canis_lupus_familiaris ENSCAFG00000017633
canis_lupus_dingo ENSCAFG00020007395
bos_taurus ENSBTAG00000022292
ovis_aries ENSOARG00000001608
ursus_americanus ENSUAMG00000021306
neovison_vison ENSNVIG00000014356
vulpes_vulpes ENSVVUG00000004983
heterocephalus_glaber_male ENSHGLG00100018296
heterocephalus_glaber_male ENSHGLG00100020307
heterocephalus_glaber_female ENSHGLG00000002560
fukomys_damarensis ENSFDAG00000001472
heterocephalus_glaber_male ENSHGLG00100020573
heterocephalus_glaber_female ENSHGLG00000019797
chinchilla_lanigera ENSCLAG00000002392
cavia_porcellus ENSCPOG00000034870
loxodonta_africana ENSLAFG00000017367
phascolarctos_cinereus ENSPCIG00000037051
notamacropus_eugenii ENSMEUG00000004653
monodelphis_domestica ENSMODG00000011661
monodelphis_domestica ENSMODG00000023445
sarcophilus_harrisii ENSSHAG00000013672
myotis_lucifugus ENSMLUG00000022391
monodelphis_domestica ENSMODG00000024964
echinops_telfairi ENSETEG00000008401
otolemur_garnettii ENSOGAG00000030897
ornithorhynchus_anatinus ENSOANG00000004223
nothoprocta_perdicaria ENSNPEG00000013888
apteryx_rowi ENSARWG00000000027
zonotrichia_albicollis ENSZALG00000002576
junco_hyemalis ENSJHYG00000002867
lepidothrix_coronata ENSLCOG00000014726
manacus_vitellinus ENSMVIG00005002932
parus_major ENSPMJG00000012157
ficedula_albicollis ENSFALG00000011400
lonchura_striata_domestica ENSLSDG00000007149
