gambusia_affinis ENSGAFG00000007351
poecilia_reticulata ENSPREG00000020358
oryzias_melastigma ENSOMEG00000001479
amphiprion_percula ENSAPEG00000024194
acanthochromis_polyacanthus ENSAPOG00000006340
seriola_dumerili ENSSDUG00000008070
seriola_lalandi_dorsalis ENSSLDG00000017901
anabas_testudineus ENSATEG00000001022
labrus_bergylta ENSLBEG00000019843
labrus_bergylta ENSLBEG00000019829
pygocentrus_nattereri ENSPNAG00000021423
ictalurus_punctatus ENSIPUG00000018970
danio_rerio ENSDARG00000078859
paramormyrops_kingsleyae ENSPKIG00000015350
esox_lucius ENSELUG00000006139
seriola_dumerili ENSSDUG00000004966
paramormyrops_kingsleyae ENSPKIG00000015340
lepisosteus_oculatus ENSLOCG00000017937
apteryx_haastii ENSAHAG00000015449
apteryx_owenii ENSAOWG00000005554
apteryx_rowi ENSARWG00000006354
manacus_vitellinus ENSMVIG00005017153
crocodylus_porosus ENSCPRG00005000077
calidris_pygmaea ENSCPGG00000018910
calidris_pugnax ENSCPUG00000010976
taeniopygia_guttata ENSTGUG00000018375
taeniopygia_guttata ENSTGUG00000014012
lonchura_striata_domestica ENSLSDG00000005321
cyanistes_caeruleus ENSCCEG00000004101
junco_hyemalis ENSJHYG00000016911
zonotrichia_albicollis ENSZALG00000010399
serinus_canaria ENSSCAG00000015621
ficedula_albicollis ENSFALG00000014603
lepidothrix_coronata ENSLCOG00000007874
anas_platyrhynchos_platyrhynchos ENSAPLG00000001914
anser_brachyrhynchus ENSABRG00000008773
meleagris_gallopavo ENSMGAG00000016392
coturnix_japonica ENSCJPG00005016651
gallus_gallus ENSGALG00000023933
numida_meleagris ENSNMEG00000012613
melopsittacus_undulatus ENSMUNG00000008355
apteryx_owenii ENSAOWG00000009414
apteryx_haastii ENSAHAG00000018984
apteryx_rowi ENSARWG00000017496
nothoprocta_perdicaria ENSNPEG00000007791
dromaius_novaehollandiae ENSDNVG00000012338
chelonoidis_abingdonii ENSCABG00000008835
gopherus_agassizii ENSGAGG00000003026
chrysemys_picta_bellii ENSCPBG00000021284
pelodiscus_sinensis ENSPSIG00000001170
anolis_carolinensis ENSACAG00000005822
pogona_vitticeps ENSPVIG00000002506
notechis_scutatus ENSNSUG00000013954
salvator_merianae ENSSMRG00000004470
sphenodon_punctatus ENSSPUG00000005445
sarcophilus_harrisii ENSSHAG00000010648
phascolarctos_cinereus ENSPCIG00000028250
monodelphis_domestica ENSMODG00000024755
ursus_americanus ENSUAMG00000016535
ursus_maritimus ENSUMAG00000021318
ailuropoda_melanoleuca ENSAMEG00000018868
mustela_putorius_furo ENSMPUG00000018725
canis_lupus_dingo ENSCAFG00020013204
vulpes_vulpes ENSVVUG00000009428
panthera_pardus ENSPPRG00000021496
panthera_tigris_altaica ENSPTIG00000001408
felis_catus ENSFCAG00000045691
myotis_lucifugus ENSMLUG00000004495
equus_asinus_asinus ENSEASG00005002666
equus_caballus ENSECAG00000003535
sus_scrofa ENSSSCG00000015617
pan_troglodytes ENSPTRG00000052549
pan_paniscus ENSPPAG00000009824
homo_sapiens ENSG00000123689
gorilla_gorilla ENSGGOG00000040132
pongo_abelii ENSPPYG00000000257
nomascus_leucogenys ENSNLEG00000030803
mandrillus_leucophaeus ENSMLEG00000022620
theropithecus_gelada ENSTGEG00000009947
macaca_fascicularis ENSMFAG00000024733
macaca_mulatta ENSMMUG00000045482
macaca_nemestrina ENSMNEG00000012946
cercocebus_atys ENSCATG00000010427
papio_anubis ENSPANG00000014322
chlorocebus_sabaeus ENSCSAG00000015250
rhinopithecus_roxellana ENSRROG00000024092
rhinopithecus_bieti ENSRBIG00000010168
piliocolobus_tephrosceles ENSPTEG00000036461
callithrix_jacchus ENSCJAG00000041485
otolemur_garnettii ENSOGAG00000029349
oryctolagus_cuniculus ENSOCUG00000004023
urocitellus_parryii ENSUPAG00010016551
ictidomys_tridecemlineatus ENSSTOG00000020915
spermophilus_dauricus ENSSDAG00000005610
marmota_marmota_marmota ENSMMMG00000001164
castor_canadensis ENSCCNG00000029575
cricetulus_griseus_crigri ENSCGRG00000019617
cricetulus_griseus_chok1gshd ENSCGRG00001010736
cricetulus_griseus_crigri-picr ENSCGRG00015017166
mesocricetus_auratus ENSMAUG00000010676
peromyscus_maniculatus_bairdii ENSPEMG00000029839
microtus_ochrogaster ENSMOCG00000002733
mus_musculus ENSMUSG00000009633
mus_spicilegus ENSMSIG00000024205
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015870
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015070
mus_pahari MGP_PahariEiJ_G0028302
rattus_norvegicus ENSRNOG00000006019
meriones_unguiculatus ENSMUGG00000015344
nannospalax_galili ENSNGAG00000006335
cavia_porcellus ENSCPOG00000032976
prolemur_simus ENSPSMG00000015323
ovis_aries ENSOARG00000004314
bison_bison_bison ENSBBBG00000013822
pteropus_vampyrus ENSPVAG00000013217
choloepus_hoffmanni ENSCHOG00000002158
dasypus_novemcinctus ENSDNOG00000048988
latimeria_chalumnae ENSLACG00000018619
