amphiprion_ocellaris ENSAOCG00000015848
amphilophus_citrinellus ENSACIG00000016833
mastacembelus_armatus ENSMAMG00000012142
gadus_morhua ENSGMOG00000015320
pygocentrus_nattereri ENSPNAG00000010350
astyanax_mexicanus ENSAMXG00000038880
ictalurus_punctatus ENSIPUG00000010256
zonotrichia_albicollis ENSZALG00000011888
scleropages_formosus ENSSFOG00015017975
paramormyrops_kingsleyae ENSPKIG00000006948
lepisosteus_oculatus ENSLOCG00000010846
ornithorhynchus_anatinus ENSOANG00000001111
latimeria_chalumnae ENSLACG00000016991
notamacropus_eugenii ENSMEUG00000005940
phascolarctos_cinereus ENSPCIG00000010374
sarcophilus_harrisii ENSSHAG00000009505
monodelphis_domestica ENSMODG00000005933
oryctolagus_cuniculus ENSOCUG00000009161
ochotona_princeps ENSOPRG00000007719
spermophilus_dauricus ENSSDAG00000003277
ictidomys_tridecemlineatus ENSSTOG00000000399
urocitellus_parryii ENSUPAG00010005415
marmota_marmota_marmota ENSMMMG00000009968
castor_canadensis ENSCCNG00000004812
carlito_syrichta ENSTSYG00000036984
tupaia_belangeri ENSTBEG00000014273
erinaceus_europaeus ENSEEUG00000012182
panthera_tigris_altaica ENSPTIG00000011018
heterocephalus_glaber_male ENSHGLG00100007022
heterocephalus_glaber_female ENSHGLG00000017569
fukomys_damarensis ENSFDAG00000015708
chinchilla_lanigera ENSCLAG00000014001
octodon_degus ENSODEG00000001847
cavia_porcellus ENSCPOG00000038944
mus_musculus ENSMUSG00000021469
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019408
mus_spicilegus ENSMSIG00000007490
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018528
mus_pahari MGP_PahariEiJ_G0019594
rattus_norvegicus ENSRNOG00000018355
meriones_unguiculatus ENSMUGG00000018575
cricetulus_griseus_chok1gshd ENSCGRG00001010113
cricetulus_griseus_crigri ENSCGRG00000007724
cricetulus_griseus_crigri-picr ENSCGRG00015019136
mesocricetus_auratus ENSMAUG00000011757
peromyscus_maniculatus_bairdii ENSPEMG00000026392
microtus_ochrogaster ENSMOCG00000014346
nannospalax_galili ENSNGAG00000016909
jaculus_jaculus ENSJJAG00000016806
prolemur_simus ENSPSMG00000005086
propithecus_coquereli ENSPCOG00000009401
microcebus_murinus ENSMICG00000026941
otolemur_garnettii ENSOGAG00000032139
cebus_capucinus ENSCCAG00000037478
saimiri_boliviensis_boliviensis ENSSBOG00000032992
callithrix_jacchus ENSCJAG00000019138
aotus_nancymaae ENSANAG00000019738
pan_troglodytes ENSPTRG00000047893
pan_paniscus ENSPPAG00000020380
gorilla_gorilla ENSGGOG00000000313
nomascus_leucogenys ENSNLEG00000029783
piliocolobus_tephrosceles ENSPTEG00000039358
theropithecus_gelada ENSTGEG00000023210
pan_paniscus ENSPPAG00000012688
pan_troglodytes ENSPTRG00000017548
homo_sapiens ENSG00000120149
gorilla_gorilla ENSGGOG00000025973
pongo_abelii ENSPPYG00000016061
nomascus_leucogenys ENSNLEG00000000548
macaca_nemestrina ENSMNEG00000036098
macaca_fascicularis ENSMFAG00000037372
theropithecus_gelada ENSTGEG00000013542
papio_anubis ENSPANG00000013222
chlorocebus_sabaeus ENSCSAG00000009496
cercocebus_atys ENSCATG00000022593
mandrillus_leucophaeus ENSMLEG00000034278
piliocolobus_tephrosceles ENSPTEG00000031036
colobus_angolensis_palliatus ENSCANG00000039329
rhinopithecus_bieti ENSRBIG00000034764
