ursus_americanus ENSUAMG00000000689
ursus_maritimus ENSUMAG00000000499
ailuropoda_melanoleuca ENSAMEG00000018971
neovison_vison ENSNVIG00000012466
canis_lupus_dingo ENSCAFG00020025624
canis_lupus_familiaris ENSCAFG00000017420
vulpes_vulpes ENSVVUG00000011824
panthera_pardus ENSPPRG00000021705
panthera_tigris_altaica ENSPTIG00000002130
felis_catus ENSFCAG00000001699
capra_hircus ENSCHIG00000007679
ovis_aries ENSOARG00000013763
bos_mutus ENSBMUG00000000039
bos_taurus ENSBTAG00000047272
bison_bison_bison ENSBBBG00000011196
sus_scrofa ENSSSCG00000017620
equus_caballus ENSECAG00000002945
equus_asinus_asinus ENSEASG00005002949
myotis_lucifugus ENSMLUG00000007882
pteropus_vampyrus ENSPVAG00000017055
erinaceus_europaeus ENSEEUG00000002557
prolemur_simus ENSPSMG00000010126
otolemur_garnettii ENSOGAG00000032275
pan_paniscus ENSPPAG00000008466
pan_troglodytes ENSPTRG00000009439
gorilla_gorilla ENSGGOG00000007454
homo_sapiens ENSG00000166329
pongo_abelii ENSPPYG00000008243
macaca_mulatta ENSMMUG00000041728
macaca_fascicularis ENSMFAG00000011417
macaca_nemestrina ENSMNEG00000014216
theropithecus_gelada ENSTGEG00000023430
papio_anubis ENSPANG00000025693
cercocebus_atys ENSCATG00000005693
mandrillus_leucophaeus ENSMLEG00000015462
chlorocebus_sabaeus ENSCSAG00000000549
piliocolobus_tephrosceles ENSPTEG00000039383
colobus_angolensis_palliatus ENSCANG00000018143
rhinopithecus_roxellana ENSRROG00000001055
rhinopithecus_bieti ENSRBIG00000011502
cebus_capucinus ENSCCAG00000019846
saimiri_boliviensis_boliviensis ENSSBOG00000020265
callithrix_jacchus ENSCJAG00000022062
tupaia_belangeri ENSTBEG00000017540
castor_canadensis ENSCCNG00000024804
dipodomys_ordii ENSDORG00000005396
cavia_aperea ENSCAPG00000006729
cavia_porcellus ENSCPOG00000008757
heterocephalus_glaber_male ENSHGLG00100019896
heterocephalus_glaber_female ENSHGLG00000020646
ictidomys_tridecemlineatus ENSSTOG00000020529
marmota_marmota_marmota ENSMMMG00000020744
spermophilus_dauricus ENSSDAG00000000028
urocitellus_parryii ENSUPAG00010014275
mus_spicilegus ENSMSIG00000022827
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016947
mus_musculus ENSMUSG00000034031
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017794
mus_pahari MGP_PahariEiJ_G0018078
rattus_norvegicus ENSRNOG00000010446
meriones_unguiculatus ENSMUGG00000024183
cricetulus_griseus_crigri ENSCGRG00000018991
cricetulus_griseus_chok1gshd ENSCGRG00001011932
cricetulus_griseus_crigri-picr ENSCGRG00015006028
mesocricetus_auratus ENSMAUG00000008308
microtus_ochrogaster ENSMOCG00000002863
peromyscus_maniculatus_bairdii ENSPEMG00000027163
nannospalax_galili ENSNGAG00000016284
jaculus_jaculus ENSJJAG00000013314
ochotona_princeps ENSOPRG00000000883
loxodonta_africana ENSLAFG00000003002
echinops_telfairi ENSETEG00000005935
choloepus_hoffmanni ENSCHOG00000002201
dasypus_novemcinctus ENSDNOG00000002987
phascolarctos_cinereus ENSPCIG00000006067
notamacropus_eugenii ENSMEUG00000004635
sarcophilus_harrisii ENSSHAG00000007921
monodelphis_domestica ENSMODG00000024485
chelonoidis_abingdonii ENSCABG00000017170
gopherus_agassizii ENSGAGG00000011813
chrysemys_picta_bellii ENSCPBG00000009929
crocodylus_porosus ENSCPRG00005010221
