seriola_dumerili ENSSDUG00000006148
seriola_lalandi ENSSLDG00000004112
lates_calcarifer ENSLCAG00010023561
cottoperca_gobio ENSCGOG00000022380
mola_mola ENSMMOG00000009801
scophthalmus_maximus ENSSMAG00000010972
anabas_testudineus ENSATEG00000000214
betta_splendens ENSBSLG00000022076
mastacembelus_armatus ENSMAMG00000000194
cynoglossus_semilaevis ENSCSEG00000008085
monopterus_albus ENSMALG00000021057
amphiprion_ocellaris ENSAOCG00000014993
amphiprion_percula ENSAPEG00000009357
acanthochromis_polyacanthus ENSAPOG00000017333
stegastes_partitus ENSSPAG00000002873
parambassis_ranga ENSPRNG00000002866
cyprinodon_variegatus ENSCVAG00000017049
fundulus_heteroclitus ENSFHEG00000003908
xiphophorus_maculatus ENSXMAG00000023772
xiphophorus_couchianus ENSXCOG00000015345
gambusia_affinis ENSGAFG00000018243
poecilia_latipinna ENSPLAG00000005559
poecilia_mexicana ENSPMEG00000016371
poecilia_formosa ENSPFOG00000017143
poecilia_reticulata ENSPREG00000018061
kryptolebias_marmoratus ENSKMAG00000016960
pundamilia_nyererei ENSPNYG00000021187
haplochromis_burtoni ENSHBUG00000014074
astatotilapia_calliptera ENSACLG00000027147
neolamprologus_brichardi ENSNBRG00000000737
maylandia_zebra ENSMZEG00005010455
amphilophus_citrinellus ENSACIG00000011867
hippocampus_comes ENSHCOG00000016306
gouania_willdenowi ENSGWIG00000009672
gasterosteus_aculeatus ENSGACG00000011774
takifugu_rubripes ENSTRUG00000025531
tetraodon_nigroviridis ENSTNIG00000000429
oryzias_melastigma ENSOMEG00000023193
oryzias_latipes ENSORLG00020003326
periophthalmus_magnuspinnatus ENSPMGG00000020130
gadus_morhua ENSGMOG00000000891
esox_lucius ENSELUG00000020380
hucho_hucho ENSHHUG00000030068
astyanax_mexicanus ENSAMXG00005022254
astyanax_mexicanus ENSAMXG00000041267
pygocentrus_nattereri ENSPNAG00000021375
electrophorus_electricus ENSEEEG00000006960
ictalurus_punctatus ENSIPUG00000003389
denticeps_clupeoides ENSDCDG00000002748
clupea_harengus ENSCHAG00000007322
danio_rerio ENSDARG00000028321
