ailuropoda_melanoleuca ENSAMEG00000008736
mustela_putorius_furo ENSMPUG00000004028
vulpes_vulpes ENSVVUG00000025197
equus_caballus ENSECAG00000032980
capra_hircus ENSCHIG00000023860
ovis_aries ENSOARG00000001643
cricetulus_griseus_crigri ENSCGRG00000013922
cricetulus_griseus_chok1gshd ENSCGRG00001004852
cricetulus_griseus_crigri-picr ENSCGRG00015019388
mesocricetus_auratus ENSMAUG00000021484
microtus_ochrogaster ENSMOCG00000016196
peromyscus_maniculatus_bairdii ENSPEMG00000013164
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033300
mus_spicilegus ENSMSIG00000011321
mus_musculus ENSMUSG00000056617
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032161
mus_pahari MGP_PahariEiJ_G0015031
rattus_norvegicus ENSRNOG00000038867
dasypus_novemcinctus ENSDNOG00000045803
