pteropus_vampyrus ENSPVAG00000006731
myotis_lucifugus ENSMLUG00000011709
equus_asinus_asinus ENSEASG00005005822
equus_caballus ENSECAG00000018679
ursus_americanus ENSUAMG00000027472
ursus_maritimus ENSUMAG00000018320
ailuropoda_melanoleuca ENSAMEG00000000952
neovison_vison ENSNVIG00000019479
mustela_putorius_furo ENSMPUG00000013153
canis_lupus_familiaris ENSCAFG00000005813
canis_lupus_dingo ENSCAFG00020027286
vulpes_vulpes ENSVVUG00000000482
panthera_tigris_altaica ENSPTIG00000021598
panthera_pardus ENSPPRG00000002083
felis_catus ENSFCAG00000040097
bos_mutus ENSBMUG00000009022
bos_taurus ENSBTAG00000004061
bison_bison_bison ENSBBBG00000010399
capra_hircus ENSCHIG00000017933
ovis_aries ENSOARG00000015753
sus_scrofa ENSSSCG00000027327
vicugna_pacos ENSVPAG00000002805
erinaceus_europaeus ENSEEUG00000015680
sorex_araneus ENSSARG00000002723
castor_canadensis ENSCCNG00000013703
dipodomys_ordii ENSDORG00000024799
cricetulus_griseus_crigri-picr ENSCGRG00015025417
cricetulus_griseus_chok1gshd ENSCGRG00001019391
cricetulus_griseus_crigri ENSCGRG00000002742
mesocricetus_auratus ENSMAUG00000012292
peromyscus_maniculatus_bairdii ENSPEMG00000019407
microtus_ochrogaster ENSMOCG00000014621
mus_spicilegus ENSMSIG00000027969
mus_musculus ENSMUSG00000044957
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021742
mus_pahari MGP_PahariEiJ_G0020731
rattus_norvegicus ENSRNOG00000004719
nannospalax_galili ENSNGAG00000009769
urocitellus_parryii ENSUPAG00010016740
ictidomys_tridecemlineatus ENSSTOG00000012388
spermophilus_dauricus ENSSDAG00000011310
marmota_marmota_marmota ENSMMMG00000008687
heterocephalus_glaber_male ENSHGLG00100015663
heterocephalus_glaber_female ENSHGLG00000006921
fukomys_damarensis ENSFDAG00000005940
chinchilla_lanigera ENSCLAG00000006309
oryctolagus_cuniculus ENSOCUG00000017225
ochotona_princeps ENSOPRG00000011286
tupaia_belangeri ENSTBEG00000009136
pan_paniscus ENSPPAG00000037981
pan_troglodytes ENSPTRG00000014683
homo_sapiens ENSG00000183977
gorilla_gorilla ENSGGOG00000012034
pongo_abelii ENSPPYG00000014073
nomascus_leucogenys ENSNLEG00000003458
piliocolobus_tephrosceles ENSPTEG00000034495
colobus_angolensis_palliatus ENSCANG00000042635
rhinopithecus_bieti ENSRBIG00000034173
rhinopithecus_roxellana ENSRROG00000015296
macaca_nemestrina ENSMNEG00000042144
macaca_fascicularis ENSMFAG00000036979
macaca_mulatta ENSMMUG00000006993
papio_anubis ENSPANG00000017678
theropithecus_gelada ENSTGEG00000018068
cercocebus_atys ENSCATG00000030080
mandrillus_leucophaeus ENSMLEG00000029975
chlorocebus_sabaeus ENSCSAG00000009816
saimiri_boliviensis_boliviensis ENSSBOG00000027219
callithrix_jacchus ENSCJAG00000003735
cebus_capucinus ENSCCAG00000037244
aotus_nancymaae ENSANAG00000022659
carlito_syrichta ENSTSYG00000007660
prolemur_simus ENSPSMG00000016663
microcebus_murinus ENSMICG00000048941
propithecus_coquereli ENSPCOG00000022254
otolemur_garnettii ENSOGAG00000007917
dasypus_novemcinctus ENSDNOG00000025911
loxodonta_africana ENSLAFG00000008322
procavia_capensis ENSPCAG00000016782
phascolarctos_cinereus ENSPCIG00000018319
notamacropus_eugenii ENSMEUG00000006125
sarcophilus_harrisii ENSSHAG00000007207
monodelphis_domestica ENSMODG00000014795
ornithorhynchus_anatinus ENSOANG00000004988
anser_brachyrhynchus ENSABRG00000006767
anas_platyrhynchos_platyrhynchos ENSAPLG00000012677
coturnix_japonica ENSCJPG00005012588
meleagris_gallopavo ENSMGAG00000010957
gallus_gallus ENSGALG00000044362
numida_meleagris ENSNMEG00000008659
calidris_pygmaea ENSCPGG00000001557
calidris_pugnax ENSCPUG00000010774
apteryx_haastii ENSAHAG00000003341
apteryx_owenii ENSAOWG00000018077
apteryx_rowi ENSARWG00000016700
dromaius_novaehollandiae ENSDNVG00000012187
nothoprocta_perdicaria ENSNPEG00000000666
crocodylus_porosus ENSCPRG00005001820
gopherus_agassizii ENSGAGG00000005322
chelonoidis_abingdonii ENSCABG00000013563
chrysemys_picta_bellii ENSCPBG00000022561
pelodiscus_sinensis ENSPSIG00000008299
pogona_vitticeps ENSPVIG00000007997
anolis_carolinensis ENSACAG00000000016
notechis_scutatus ENSNSUG00000010441
salvator_merianae ENSSMRG00000011639
latimeria_chalumnae ENSLACG00000005522
lepisosteus_oculatus ENSLOCG00000006606
