mus_musculus ENSMUSG00000044265
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031289
mus_spicilegus ENSMSIG00000000199
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030181
mus_pahari MGP_PahariEiJ_G0013397
rattus_norvegicus ENSRNOG00000017039
meriones_unguiculatus ENSMUGG00000020214
cricetulus_griseus_chok1gshd ENSCGRG00001023183
cricetulus_griseus_crigri ENSCGRG00000017357
cricetulus_griseus_crigri-picr ENSCGRG00015018920
mesocricetus_auratus ENSMAUG00000002097
peromyscus_maniculatus_bairdii ENSPEMG00000022742
microtus_ochrogaster ENSMOCG00000001330
nannospalax_galili ENSNGAG00000005970
jaculus_jaculus ENSJJAG00000023376
dipodomys_ordii ENSDORG00000028977
heterocephalus_glaber_female ENSHGLG00000006050
fukomys_damarensis ENSFDAG00000012483
octodon_degus ENSODEG00000008435
ictidomys_tridecemlineatus ENSSTOG00000020492
urocitellus_parryii ENSUPAG00010018671
marmota_marmota_marmota ENSMMMG00000013292
oryctolagus_cuniculus ENSOCUG00000021683
theropithecus_gelada ENSTGEG00000021648
piliocolobus_tephrosceles ENSPTEG00000014646
pongo_abelii ENSPPYG00000003568
otolemur_garnettii ENSOGAG00000024524
ursus_americanus ENSUAMG00000001887
ursus_maritimus ENSUMAG00000000200
ailuropoda_melanoleuca ENSAMEG00000013419
mustela_putorius_furo ENSMPUG00000010071
neovison_vison ENSNVIG00000017902
canis_lupus_dingo ENSCAFG00020009131
canis_lupus_familiaris ENSCAFG00000006208
vulpes_vulpes ENSVVUG00000015645
panthera_pardus ENSPPRG00000023245
panthera_tigris_altaica ENSPTIG00000010818
myotis_lucifugus ENSMLUG00000027723
loxodonta_africana ENSLAFG00000025953
monodelphis_domestica ENSMODG00000011452
sarcophilus_harrisii ENSSHAG00000013780
ornithorhynchus_anatinus ENSOANG00000010522
