saimiri_boliviensis_boliviensis ENSSBOG00000023859
cebus_capucinus ENSCCAG00000026627
aotus_nancymaae ENSANAG00000003766
pan_troglodytes ENSPTRG00000049171
pan_paniscus ENSPPAG00000034146
homo_sapiens ENSG00000235710
gorilla_gorilla ENSGGOG00000043972
nomascus_leucogenys ENSNLEG00000032423
rhinopithecus_roxellana ENSRROG00000028982
rhinopithecus_bieti ENSRBIG00000033893
colobus_angolensis_palliatus ENSCANG00000033219
mandrillus_leucophaeus ENSMLEG00000031811
cercocebus_atys ENSCATG00000042216
papio_anubis ENSPANG00000035591
macaca_fascicularis ENSMFAG00000034556
macaca_nemestrina ENSMNEG00000039005
