phascolarctos_cinereus ENSPCIG00000026665
sarcophilus_harrisii ENSSHAG00000007628
monodelphis_domestica ENSMODG00000027856
loxodonta_africana ENSLAFG00000013369
procavia_capensis ENSPCAG00000013090
echinops_telfairi ENSETEG00000000744
dasypus_novemcinctus ENSDNOG00000044815
cricetulus_griseus_crigri ENSCGRG00000017214
cricetulus_griseus_crigri-picr ENSCGRG00015012844
cricetulus_griseus_chok1gshd ENSCGRG00001015776
peromyscus_maniculatus_bairdii ENSPEMG00000022108
rattus_norvegicus ENSRNOG00000028075
mus_spicilegus ENSMSIG00000027248
meriones_unguiculatus ENSMUGG00000016627
castor_canadensis ENSCCNG00000025739
urocitellus_parryii ENSUPAG00010019412
ictidomys_tridecemlineatus ENSSTOG00000003545
marmota_marmota_marmota ENSMMMG00000006167
spermophilus_dauricus ENSSDAG00000006659
oryctolagus_cuniculus ENSOCUG00000027662
ochotona_princeps ENSOPRG00000000624
pan_troglodytes ENSPTRG00000007726
pan_paniscus ENSPPAG00000039940
gorilla_gorilla ENSGGOG00000010948
homo_sapiens ENSG00000166246
pongo_abelii ENSPPYG00000007068
nomascus_leucogenys ENSNLEG00000009892
macaca_mulatta ENSMMUG00000014311
macaca_fascicularis ENSMFAG00000000387
macaca_nemestrina ENSMNEG00000038425
mandrillus_leucophaeus ENSMLEG00000028323
cercocebus_atys ENSCATG00000012962
papio_anubis ENSPANG00000010335
chlorocebus_sabaeus ENSCSAG00000009012
piliocolobus_tephrosceles ENSPTEG00000007800
colobus_angolensis_palliatus ENSCANG00000029179
rhinopithecus_bieti ENSRBIG00000035740
rhinopithecus_roxellana ENSRROG00000039572
cebus_capucinus ENSCCAG00000022870
callithrix_jacchus ENSCJAG00000019877
saimiri_boliviensis_boliviensis ENSSBOG00000023049
aotus_nancymaae ENSANAG00000028642
carlito_syrichta ENSTSYG00000028948
propithecus_coquereli ENSPCOG00000018126
prolemur_simus ENSPSMG00000024571
microcebus_murinus ENSMICG00000015894
otolemur_garnettii ENSOGAG00000034347
pteropus_vampyrus ENSPVAG00000011536
myotis_lucifugus ENSMLUG00000014696
bos_taurus ENSBTAG00000006595
bos_mutus ENSBMUG00000010411
bison_bison_bison ENSBBBG00000005662
ovis_aries ENSOARG00000003813
capra_hircus ENSCHIG00000002545
tursiops_truncatus ENSTTRG00000005461
sus_scrofa ENSSSCG00000007935
equus_asinus_asinus ENSEASG00005000606
equus_caballus ENSECAG00000000864
ursus_americanus ENSUAMG00000016417
ursus_maritimus ENSUMAG00000002972
ailuropoda_melanoleuca ENSAMEG00000001667
mustela_putorius_furo ENSMPUG00000014963
neovison_vison ENSNVIG00000001493
canis_lupus_dingo ENSCAFG00020024946
canis_lupus_familiaris ENSCAFG00000019195
vulpes_vulpes ENSVVUG00000016518
panthera_tigris_altaica ENSPTIG00000015496
panthera_pardus ENSPPRG00000009405
felis_catus ENSFCAG00000004566
ornithorhynchus_anatinus ENSOANG00000008735
gopherus_agassizii ENSGAGG00000006842
chrysemys_picta_bellii ENSCPBG00000021813
pelodiscus_sinensis ENSPSIG00000018175
anolis_carolinensis ENSACAG00000028712
lonchura_striata_domestica ENSLSDG00000011013
