junco_hyemalis ENSJHYG00000005580
zonotrichia_albicollis ENSZALG00000002286
serinus_canaria ENSSCAG00000002886
taeniopygia_guttata ENSTGUG00000006187
lonchura_striata_domestica ENSLSDG00000003142
ficedula_albicollis ENSFALG00000001709
parus_major ENSPMJG00000006360
cyanistes_caeruleus ENSCCEG00000006586
manacus_vitellinus ENSMVIG00005011478
lepidothrix_coronata ENSLCOG00000014172
melopsittacus_undulatus ENSMUNG00000010418
calidris_pugnax ENSCPUG00000014825
calidris_pygmaea ENSCPGG00000009231
meleagris_gallopavo ENSMGAG00000007526
coturnix_japonica ENSCJPG00005008235
gallus_gallus ENSGALG00000002364
numida_meleagris ENSNMEG00000009410
anser_brachyrhynchus ENSABRG00000021778
anas_platyrhynchos_platyrhynchos ENSAPLG00000006353
apteryx_haastii ENSAHAG00000008723
apteryx_owenii ENSAOWG00000004453
apteryx_rowi ENSARWG00000008659
dromaius_novaehollandiae ENSDNVG00000012186
nothoprocta_perdicaria ENSNPEG00000013313
crocodylus_porosus ENSCPRG00005008787
gopherus_agassizii ENSGAGG00000001287
chelonoidis_abingdonii ENSCABG00000002411
chrysemys_picta_bellii ENSCPBG00000012210
pelodiscus_sinensis ENSPSIG00000012986
anolis_carolinensis ENSACAG00000008937
pogona_vitticeps ENSPVIG00000018155
salvator_merianae ENSSMRG00000021341
sphenodon_punctatus ENSSPUG00000017756
sarcophilus_harrisii ENSSHAG00000006287
phascolarctos_cinereus ENSPCIG00000019553
monodelphis_domestica ENSMODG00000017583
dasypus_novemcinctus ENSDNOG00000047209
choloepus_hoffmanni ENSCHOG00000000385
loxodonta_africana ENSLAFG00000002536
echinops_telfairi ENSETEG00000011353
procavia_capensis ENSPCAG00000013566
pan_paniscus ENSPPAG00000041065
pan_troglodytes ENSPTRG00000050333
homo_sapiens ENSG00000148396
gorilla_gorilla ENSGGOG00000010933
pongo_abelii ENSPPYG00000019775
nomascus_leucogenys ENSNLEG00000008283
theropithecus_gelada ENSTGEG00000006676
papio_anubis ENSPANG00000026131
mandrillus_leucophaeus ENSMLEG00000033444
cercocebus_atys ENSCATG00000034091
macaca_fascicularis ENSMFAG00000031567
macaca_nemestrina ENSMNEG00000045097
macaca_mulatta ENSMMUG00000003106
chlorocebus_sabaeus ENSCSAG00000015852
colobus_angolensis_palliatus ENSCANG00000028529
piliocolobus_tephrosceles ENSPTEG00000025956
rhinopithecus_bieti ENSRBIG00000032839
rhinopithecus_roxellana ENSRROG00000043913
cebus_capucinus ENSCCAG00000032922
saimiri_boliviensis_boliviensis ENSSBOG00000026345
callithrix_jacchus ENSCJAG00000010865
aotus_nancymaae ENSANAG00000034123
carlito_syrichta ENSTSYG00000026997
microcebus_murinus ENSMICG00000005865
propithecus_coquereli ENSPCOG00000024264
prolemur_simus ENSPSMG00000015546
otolemur_garnettii ENSOGAG00000015887
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024234
mus_spicilegus ENSMSIG00000028166
mus_musculus ENSMUSG00000026924
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023317
mus_pahari MGP_PahariEiJ_G0024774
rattus_norvegicus ENSRNOG00000019122
meriones_unguiculatus ENSMUGG00000021790
peromyscus_maniculatus_bairdii ENSPEMG00000002372
microtus_ochrogaster ENSMOCG00000013990
cricetulus_griseus_chok1gshd ENSCGRG00001023785
cricetulus_griseus_crigri ENSCGRG00000017771
cricetulus_griseus_crigri-picr ENSCGRG00015010263
mesocricetus_auratus ENSMAUG00000017966
nannospalax_galili ENSNGAG00000011700
jaculus_jaculus ENSJJAG00000013749
dipodomys_ordii ENSDORG00000015295
urocitellus_parryii ENSUPAG00010006882
ictidomys_tridecemlineatus ENSSTOG00000014119
spermophilus_dauricus ENSSDAG00000001821
marmota_marmota_marmota ENSMMMG00000010470
chinchilla_lanigera ENSCLAG00000007897
octodon_degus ENSODEG00000015396
cavia_aperea ENSCAPG00000004784
cavia_porcellus ENSCPOG00000013586
heterocephalus_glaber_female ENSHGLG00000019238
heterocephalus_glaber_male ENSHGLG00100015679
fukomys_damarensis ENSFDAG00000020144
ochotona_princeps ENSOPRG00000017053
oryctolagus_cuniculus ENSOCUG00000025377
tupaia_belangeri ENSTBEG00000002421
pteropus_vampyrus ENSPVAG00000001353
myotis_lucifugus ENSMLUG00000009099
capra_hircus ENSCHIG00000020286
ovis_aries ENSOARG00000003941
bison_bison_bison ENSBBBG00000009164
bos_mutus ENSBMUG00000003595
bos_taurus ENSBTAG00000023933
tursiops_truncatus ENSTTRG00000007581
sus_scrofa ENSSSCG00000034854
ursus_americanus ENSUAMG00000000030
ursus_maritimus ENSUMAG00000023084
ailuropoda_melanoleuca ENSAMEG00000003760
canis_lupus_dingo ENSCAFG00020002294
canis_lupus_familiaris ENSCAFG00000019656
vulpes_vulpes ENSVVUG00000026728
mustela_putorius_furo ENSMPUG00000011340
neovison_vison ENSNVIG00000010899
felis_catus ENSFCAG00000024359
equus_asinus_asinus ENSEASG00005018427
equus_caballus ENSECAG00000006377
erinaceus_europaeus ENSEEUG00000015839
sorex_araneus ENSSARG00000011863
ornithorhynchus_anatinus ENSOANG00000002527
taeniopygia_guttata ENSTGUG00000016800
xenopus_tropicalis ENSXETG00000031864
latimeria_chalumnae ENSLACG00000017905
hippocampus_comes ENSHCOG00000003107
periophthalmus_magnuspinnatus ENSPMGG00000004601
takifugu_rubripes ENSTRUG00000018095
tetraodon_nigroviridis ENSTNIG00000002575
mola_mola ENSMMOG00000004495
labrus_bergylta ENSLBEG00000027808
amphiprion_ocellaris ENSAOCG00000019910
amphiprion_percula ENSAPEG00000021030
acanthochromis_polyacanthus ENSAPOG00000023858
stegastes_partitus ENSSPAG00000015161
pundamilia_nyererei ENSPNYG00000004590
maylandia_zebra ENSMZEG00005002172
astatotilapia_calliptera ENSACLG00000027914
haplochromis_burtoni ENSHBUG00000007455
neolamprologus_brichardi ENSNBRG00000006772
oreochromis_niloticus ENSONIG00000007476
amphilophus_citrinellus ENSACIG00000014331
xiphophorus_maculatus ENSXMAG00000005198
xiphophorus_couchianus ENSXCOG00000001535
gambusia_affinis ENSGAFG00000012998
poecilia_formosa ENSPFOG00000002239
poecilia_mexicana ENSPMEG00000022025
poecilia_latipinna ENSPLAG00000003190
poecilia_reticulata ENSPREG00000001938
cyprinodon_variegatus ENSCVAG00000022453
fundulus_heteroclitus ENSFHEG00000007759
kryptolebias_marmoratus ENSKMAG00000011196
oryzias_latipes_asm223469v1 ENSORLG00015013895
oryzias_latipes ENSORLG00000005139
oryzias_latipes ENSORLG00020007144
oryzias_melastigma ENSOMEG00000009643
mastacembelus_armatus ENSMAMG00000017538
monopterus_albus ENSMALG00000004639
anabas_testudineus ENSATEG00000013761
scophthalmus_maximus ENSSMAG00000008794
cynoglossus_semilaevis ENSCSEG00000001326
seriola_dumerili ENSSDUG00000015034
seriola_lalandi_dorsalis ENSSLDG00000000447
gasterosteus_aculeatus ENSGACG00000016085
gadus_morhua ENSGMOG00000016912
esox_lucius ENSELUG00000001732
pygocentrus_nattereri ENSPNAG00000003550
astyanax_mexicanus ENSAMXG00000014823
ictalurus_punctatus ENSIPUG00000004683
scleropages_formosus ENSSFOG00015001350
paramormyrops_kingsleyae ENSPKIG00000005095
lepisosteus_oculatus ENSLOCG00000003461
astyanax_mexicanus ENSAMXG00000015910
petromyzon_marinus ENSPMAG00000008989
eptatretus_burgeri ENSEBUG00000010202
